id,startDate,endDate,name
1,23/12/2019,06/01/2020,Weihnachten
2,06/04/2020,18/04/2020,Ostern
3,02/06/2020,02/06/2020,Pfingsten
4,29/06/2020,11/08/2020,Sommer
5,12/10/2020,24/10/2020,Herbst
6,23/12/2020,06/01/2021,Weihnachten
7,29/03/2021,10/04/2021,Ostern
8,25/05/2021,25/05/2021,Pfingsten
9,05/07/2021,17/08/2021,Sommer
10,11/10/2021,23/10/2021,Herbst
11,24/12/2021,08/01/2022,Weihnachten
12,11/04/2022,23/04/2022,Ostern
13,27/06/2022,09/08/2022,Sommer
14,04/10/2022,15/10/2022,Herbst
15,23/12/2022,06/01/2023,Weihnachten
16,03/04/2023,15/04/2023,Ostern
17,30/05/2023,30/05/2023,Pfingsten
18,22/06/2023,04/08/2023,Sommer
19,02/10/2023,14/10/2023,Herbst
20,21/12/2023,05/01/2024,Weihnachten
21,25/03/2024,06/04/2024,Ostern
22,21/05/2024,21/05/2024,Pfingsten
23,08/07/2024,20/08/2024,Sommer
24,14/10/2024,26/10/2024,Herbst
25,23/12/2024,06/01/2025,Weihnachten
26,14/04/2025,26/04/2025,Ostern
27,10/06/2025,10/06/2025,Pfingsten
28,14/07/2025,26/08/2025,Sommer
29,13/10/2025,25/10/2025,Herbst
30,22/12/2025,06/01/2026,Weihnachten
