material,imputation_method,arima_order,sarima_order,sarima_seasonal_order,arima_aicc,sarima_aicc,delta_aicc,aicc_result,seasonal_result
1,linear,"(1, 1, 2)","(1, 1, 2)","(1, 0, 0, 5)",-3842.27,-3844.78,-2.51,SARIMA lower,Seasonal terms selected
1,pchip,"(1, 1, 2)","(1, 1, 2)","(1, 0, 0, 5)",-3836.025,-3836.968,-0.943,SARIMA lower,Seasonal terms selected
1,spline,"(1, 1, 2)","(1, 1, 2)","(1, 0, 0, 5)",-3857.196,-3858.851,-1.655,SARIMA lower,Seasonal terms selected
2,linear,"(1, 1, 1)","(1, 1, 1)","(0, 0, 0, 5)",-4426.001,-4426.001,0.0,Tie,No seasonal terms
2,pchip,"(1, 1, 1)","(1, 1, 1)","(0, 0, 0, 5)",-4425.005,-4425.005,0.0,Tie,No seasonal terms
2,spline,"(1, 1, 1)","(1, 1, 1)","(0, 0, 0, 5)",-4432.271,-4432.271,0.0,Tie,No seasonal terms
3,linear,"(1, 1, 1)","(1, 1, 1)","(0, 0, 2, 5)",-4494.561,-4495.978,-1.417,SARIMA lower,Seasonal terms selected
3,pchip,"(1, 1, 1)","(1, 1, 1)","(0, 0, 2, 5)",-4479.282,-4480.862,-1.58,SARIMA lower,Seasonal terms selected
3,spline,"(1, 1, 1)","(1, 1, 1)","(0, 0, 2, 5)",-4529.137,-4530.517,-1.38,SARIMA lower,Seasonal terms selected
4,linear,"(0, 1, 2)","(0, 1, 2)","(0, 0, 0, 5)",-3772.007,-3772.007,0.0,Tie,No seasonal terms
4,pchip,"(0, 1, 2)","(0, 1, 2)","(0, 0, 0, 5)",-3771.119,-3771.119,0.0,Tie,No seasonal terms
4,spline,"(0, 1, 1)","(0, 1, 1)","(0, 0, 0, 5)",-3808.904,-3808.904,0.0,Tie,No seasonal terms
5,linear,"(1, 0, 2)","(4, 0, 0)","(0, 0, 0, 5)",-4942.74,-4907.391,35.35,ARIMA lower,No seasonal terms
5,pchip,"(1, 0, 2)","(0, 0, 2)","(1, 0, 0, 5)",-4940.97,-4836.352,104.618,ARIMA lower,Seasonal terms selected
5,spline,"(2, 0, 2)","(1, 0, 0)","(1, 0, 0, 5)",-4948.905,-4853.315,95.589,ARIMA lower,Seasonal terms selected
6,linear,"(0, 1, 1)","(0, 1, 1)","(0, 0, 0, 5)",-6105.423,-6105.423,0.0,Tie,No seasonal terms
6,pchip,"(0, 1, 1)","(0, 1, 1)","(0, 0, 0, 5)",-6094.144,-6094.144,0.0,Tie,No seasonal terms
