material,candidate,status,order,seasonal_order,seasonal_period,aic,aicc,bic,imputation_method,spline_order,n_observations,n_missing_imputed,n_outside_domain_before_clip,error,best_by_aicc
1,arima,success,"(1, 1, 2)","(0, 0, 0, 0)",1,-3842.3109990762746,-3842.2700992807736,-3822.7526338428565,linear,,983,44,0,,False
1,sarima,success,"(1, 1, 2)","(1, 0, 0, 5)",5,-3844.841780130367,-3844.7803676431613,-3820.393823588595,linear,,983,44,0,,True
2,arima,success,"(1, 1, 1)","(0, 0, 0, 0)",1,-4426.025684848439,-4426.001170037407,-4411.356910923375,linear,,983,44,0,,True
2,sarima,success,"(1, 1, 1)","(0, 0, 0, 5)",5,-4426.025684848439,-4426.001170037407,-4411.356910923375,linear,,983,44,0,,False
3,arima,success,"(1, 1, 1)","(0, 0, 0, 0)",1,-4494.58531749906,-4494.560802688028,-4479.916543573996,linear,,983,44,0,,False
3,sarima,success,"(1, 1, 1)","(0, 0, 2, 5)",5,-4496.039274962415,-4495.97786247521,-4471.591318420643,linear,,983,44,0,,True
4,arima,success,"(0, 1, 2)","(0, 0, 0, 0)",1,-3772.031260847868,-3772.0067460368364,-3757.3624869228047,linear,,983,44,0,,True
4,sarima,success,"(0, 1, 2)","(0, 0, 0, 5)",5,-3772.031260847868,-3772.0067460368364,-3757.3624869228047,linear,,983,44,0,,False
5,arima,success,"(1, 0, 2)","(0, 0, 0, 0)",1,-4942.781063132896,-4942.740163337395,-4923.218626652307,linear,,983,44,0,,True
5,sarima,success,"(4, 0, 0)","(0, 0, 0, 5)",5,-4907.476724060494,-4907.390658486724,-4878.133069339611,linear,,983,44,0,,False
6,arima,success,"(0, 1, 1)","(0, 0, 0, 0)",1,-6105.435019602812,-6105.422774704853,-6095.655836986103,linear,,983,44,0,,True
6,sarima,success,"(0, 1, 1)","(0, 0, 0, 5)",5,-6105.435019602812,-6105.422774704853,-6095.655836986103,linear,,983,44,0,,False
7,arima,success,"(0, 1, 2)","(0, 0, 0, 0)",1,-7430.83145418868,-7430.790554393179,-7411.273088955262,linear,,983,44,0,,False
7,sarima,success,"(0, 1, 1)","(1, 0, 0, 5)",5,-7439.3040638721695,-7439.279549061138,-7424.635289947106,linear,,983,44,0,,True
8,arima,success,"(1, 1, 1)","(0, 0, 0, 0)",1,-6206.378586492614,-6206.354071681582,-6191.70981256755,linear,,983,44,0,,True
8,sarima,success,"(1, 1, 1)","(0, 0, 0, 5)",5,-6206.378586492614,-6206.354071681582,-6191.70981256755,linear,,983,44,0,,False
9,arima,success,"(3, 1, 1)","(0, 0, 0, 0)",1,-5831.013577786131,-5830.952165298925,-5806.565621244358,linear,,983,44,0,,True
9,sarima,success,"(3, 1, 1)","(0, 0, 0, 5)",5,-5831.013577786131,-5830.952165298925,-5806.565621244358,linear,,983,44,0,,False
10,arima,success,"(0, 1, 2)","(0, 0, 0, 0)",1,-4245.602294803047,-4245.561395007546,-4226.043929569629,linear,,983,44,0,,True
10,sarima,success,"(0, 1, 2)","(0, 0, 0, 5)",5,-4245.602294803047,-4245.561395007546,-4226.043929569629,linear,,983,44,0,,False
11,arima,success,"(1, 1, 1)","(0, 0, 0, 0)",1,-4965.889980070002,-4965.86546525897,-4951.221206144938,linear,,983,44,0,,False
11,sarima,success,"(1, 1, 2)","(0, 0, 1, 5)",5,-4972.190739660402,-4972.1293271731965,-4947.74278311863,linear,,983,44,0,,True
12,arima,success,"(5, 0, 0)","(0, 0, 0, 0)",1,-7089.375305782722,-7089.26043398785,-7055.141041941692,linear,,983,44,0,,True
12,sarima,success,"(4, 0, 0)","(0, 0, 0, 5)",5,-7088.079324713419,-7087.993259139648,-7058.735669992536,linear,,983,44,0,,False
13,arima,success,"(0, 1, 3)","(0, 0, 0, 0)",1,-2466.1137176078755,-2466.0728178123745,-2446.5553523744575,linear,,983,44,0,,False
13,sarima,success,"(4, 1, 2)","(1, 0, 1, 5)",5,-2477.4508214892844,-2477.2658266280305,-2433.444499714094,linear,,983,44,0,,True
