material,candidate,status,order,seasonal_order,seasonal_period,aic,aicc,bic,imputation_method,spline_order,n_observations,n_missing_imputed,n_outside_domain_before_clip,error,best_by_aicc
1,arima,success,"(1, 1, 2)","(0, 0, 0, 0)",1,-3836.065612291591,-3836.02471249609,-3816.507247058173,pchip,,983,44,0,,False
1,sarima,success,"(1, 1, 2)","(1, 0, 0, 5)",5,-3837.0292846156863,-3836.9678721284804,-3812.581328073914,pchip,,983,44,0,,True
2,arima,success,"(1, 1, 1)","(0, 0, 0, 0)",1,-4425.029232711298,-4425.004717900267,-4410.360458786235,pchip,,983,44,0,,True
2,sarima,success,"(1, 1, 1)","(0, 0, 0, 5)",5,-4425.029232711298,-4425.004717900267,-4410.360458786235,pchip,,983,44,0,,False
3,arima,success,"(1, 1, 1)","(0, 0, 0, 0)",1,-4479.306249659945,-4479.281734848913,-4464.637475734881,pchip,,983,44,0,,False
3,sarima,success,"(1, 1, 1)","(0, 0, 2, 5)",5,-4480.923480274947,-4480.862067787742,-4456.475523733175,pchip,,983,44,0,,True
4,arima,success,"(0, 1, 2)","(0, 0, 0, 0)",1,-3771.1434261395843,-3771.1189113285527,-3756.474652214521,pchip,,983,44,0,,True
4,sarima,success,"(0, 1, 2)","(0, 0, 0, 5)",5,-3771.1434261395843,-3771.1189113285527,-3756.474652214521,pchip,,983,44,0,,False
5,arima,success,"(1, 0, 2)","(0, 0, 0, 0)",1,-4941.010900470537,-4940.970000675036,-4921.448463989948,pchip,,983,44,0,,True
5,sarima,success,"(0, 0, 2)","(1, 0, 0, 5)",5,-4836.413300503479,-4836.351888016274,-4811.960254902743,pchip,,983,44,0,,False
6,arima,success,"(0, 1, 1)","(0, 0, 0, 0)",1,-6094.156584735583,-6094.144339837624,-6084.377402118875,pchip,,983,44,0,,True
6,sarima,success,"(0, 1, 1)","(0, 0, 0, 5)",5,-6094.156584735583,-6094.144339837624,-6084.377402118875,pchip,,983,44,0,,False
7,arima,success,"(0, 1, 1)","(0, 0, 0, 0)",1,-7435.082355770849,-7435.07011087289,-7425.3031731541405,pchip,,983,44,0,,False
7,sarima,success,"(0, 1, 1)","(1, 0, 0, 5)",5,-7436.142180011191,-7436.1176652001595,-7421.473406086127,pchip,,983,44,0,,True
8,arima,success,"(1, 1, 1)","(0, 0, 0, 0)",1,-6205.365103595417,-6205.340588784386,-6190.696329670353,pchip,,983,44,0,,False
8,sarima,success,"(1, 1, 3)","(0, 0, 0, 5)",5,-6206.615602979657,-6206.554190492451,-6182.167646437884,pchip,,983,44,0,,True
9,arima,success,"(2, 1, 1)","(0, 0, 0, 0)",1,-5828.866177931929,-5828.825278136428,-5809.307812698511,pchip,,983,44,0,,True
9,sarima,success,"(0, 1, 1)","(0, 0, 0, 5)",5,-5821.457259914245,-5821.445015016286,-5811.678077297536,pchip,,983,44,0,,False
10,arima,success,"(0, 1, 2)","(0, 0, 0, 0)",1,-4241.282416010383,-4241.257901199351,-4226.613642085319,pchip,,983,44,0,,False
10,sarima,success,"(0, 1, 2)","(0, 0, 2, 5)",5,-4241.448331657077,-4241.386919169871,-4217.000375115304,pchip,,983,44,0,,True
11,arima,success,"(1, 1, 1)","(0, 0, 0, 0)",1,-4964.0497295059595,-4964.025214694928,-4949.380955580896,pchip,,983,44,0,,False
11,sarima,success,"(1, 1, 2)","(1, 0, 0, 5)",5,-4970.208001210079,-4970.146588722873,-4945.760044668306,pchip,,983,44,0,,True
12,arima,success,"(5, 0, 0)","(0, 0, 0, 0)",1,-7082.235781203736,-7082.1209094088645,-7048.001517362706,pchip,,983,44,0,,True
12,sarima,success,"(4, 0, 0)","(0, 0, 0, 5)",5,-7081.359631197691,-7081.27356562392,-7052.015976476808,pchip,,983,44,0,,False
13,arima,success,"(0, 1, 3)","(0, 0, 0, 0)",1,-2462.379969581295,-2462.339069785794,-2442.821604347877,pchip,,983,44,0,,False
13,sarima,success,"(1, 1, 3)","(0, 0, 2, 5)",5,-2468.0143269558803,-2467.8994551610085,-2433.787187797399,pchip,,983,44,0,,True
