material,candidate,status,order,seasonal_order,seasonal_period,aic,aicc,bic,imputation_method,spline_order,n_observations,n_missing_imputed,n_outside_domain_before_clip,error,best_by_aicc
1,arima,success,"(1, 1, 2)","(0, 0, 0, 0)",1,-3857.236419857358,-3857.195520061857,-3837.67805462394,spline,3,983,44,0,,False
1,sarima,success,"(1, 1, 2)","(1, 0, 0, 5)",5,-3858.912115053978,-3858.8507025667723,-3834.464158512206,spline,3,983,44,0,,True
2,arima,success,"(1, 1, 1)","(0, 0, 0, 0)",1,-4432.295195497951,-4432.270680686919,-4417.626421572887,spline,3,983,44,0,,True
2,sarima,success,"(1, 1, 1)","(0, 0, 0, 5)",5,-4432.295195497951,-4432.270680686919,-4417.626421572887,spline,3,983,44,0,,False
3,arima,success,"(1, 1, 1)","(0, 0, 0, 0)",1,-4529.161745499452,-4529.1372306884205,-4514.492971574388,spline,3,983,44,0,,False
3,sarima,success,"(1, 1, 1)","(0, 0, 2, 5)",5,-4530.5785384261235,-4530.517125938918,-4506.130581884351,spline,3,983,44,0,,True
4,arima,success,"(0, 1, 1)","(0, 0, 0, 0)",1,-3808.916569939821,-3808.9043250418617,-3799.137387323112,spline,3,983,44,0,,True
4,sarima,success,"(0, 1, 1)","(0, 0, 0, 5)",5,-3808.916569939821,-3808.9043250418617,-3799.137387323112,spline,3,983,44,0,,False
5,arima,success,"(2, 0, 2)","(0, 0, 0, 0)",1,-4948.990756427071,-4948.9046908533,-4919.647101706188,spline,3,983,44,0,,True
5,sarima,success,"(1, 0, 0)","(1, 0, 0, 5)",5,-4853.356393099543,-4853.315493304042,-4833.793956618954,spline,3,983,44,0,,False
6,arima,success,"(2, 1, 1)","(0, 0, 0, 0)",1,-6152.104484455809,-6152.063584660308,-6132.546119222391,spline,3,983,44,0,,True
6,sarima,success,"(0, 1, 1)","(2, 0, 0, 5)",5,-6150.509898046896,-6150.468998251395,-6130.951532813478,spline,3,983,44,0,,False
7,arima,success,"(1, 1, 2)","(0, 0, 0, 0)",1,-7458.429330252893,-7458.367917765688,-7433.981373711121,spline,3,983,44,0,,True
7,sarima,success,"(1, 1, 2)","(0, 0, 0, 5)",5,-7458.429330252893,-7458.367917765688,-7433.981373711121,spline,3,983,44,0,,False
8,arima,success,"(0, 1, 1)","(0, 0, 0, 0)",1,-6216.7455437587,-6216.73329886074,-6206.966361141991,spline,3,983,44,0,,False
8,sarima,success,"(0, 1, 1)","(0, 0, 1, 5)",5,-6217.266595251326,-6217.242080440295,-6202.597821326262,spline,3,983,44,0,,True
9,arima,success,"(0, 1, 3)","(0, 0, 0, 0)",1,-5834.754847371172,-5834.713947575671,-5815.196482137754,spline,3,983,44,0,,True
9,sarima,success,"(0, 1, 3)","(0, 0, 0, 5)",5,-5834.754847371172,-5834.713947575671,-5815.196482137754,spline,3,983,44,0,,False
10,arima,success,"(0, 1, 2)","(0, 0, 0, 0)",1,-4258.794247414566,-4258.769732603534,-4244.125473489502,spline,3,983,44,0,,True
10,sarima,success,"(0, 1, 2)","(0, 0, 0, 5)",5,-4258.794247414566,-4258.769732603534,-4244.125473489502,spline,3,983,44,0,,False
11,arima,success,"(1, 1, 1)","(0, 0, 0, 0)",1,-4968.209683894265,-4968.185169083234,-4953.5409099692015,spline,3,983,44,0,,False
11,sarima,success,"(1, 1, 1)","(0, 0, 1, 5)",5,-4971.184534879207,-4971.143635083706,-4951.626169645789,spline,3,983,44,0,,True
12,arima,success,"(5, 0, 0)","(0, 0, 0, 0)",1,-7113.277339803544,-7113.1624680086725,-7079.043075962514,spline,3,983,44,0,,False
12,sarima,success,"(2, 0, 1)","(0, 0, 0, 5)",5,-7119.716433783979,-7119.655021296773,-7095.263388183243,spline,3,983,44,0,,True
13,arima,success,"(4, 1, 1)","(0, 0, 0, 0)",1,-2491.176543256778,-2491.0904776830075,-2461.8389954066515,spline,3,983,44,0,,False
13,sarima,success,"(3, 1, 2)","(1, 0, 1, 5)",5,-2495.57133654062,-2495.423492598115,-2456.4546060737844,spline,3,983,44,0,,True
