material,order_tuple,seasonal_order_tuple,interpolation_methods,autoarima_searches,occurrence_count,candidate_name
1,"(1, 1, 2)","(0, 0, 0, 0)","linear, pchip, spline",arima,3,arima_112
1,"(1, 1, 2)","(1, 0, 0, 5)","linear, pchip, spline",sarima,3,sarima_112_100_5
2,"(1, 1, 1)","(0, 0, 0, 0)","linear, pchip, spline","arima, sarima",6,arima_111
3,"(1, 1, 1)","(0, 0, 0, 0)","linear, pchip, spline",arima,3,arima_111
3,"(1, 1, 1)","(0, 0, 2, 5)","linear, pchip, spline",sarima,3,sarima_111_002_5
4,"(0, 1, 1)","(0, 0, 0, 0)",spline,"arima, sarima",2,arima_011
4,"(0, 1, 2)","(0, 0, 0, 0)","linear, pchip","arima, sarima",4,arima_012
5,"(1, 0, 2)","(0, 0, 0, 0)","linear, pchip",arima,2,arima_102
5,"(2, 0, 2)","(0, 0, 0, 0)",spline,arima,1,arima_202
5,"(4, 0, 0)","(0, 0, 0, 0)",linear,sarima,1,arima_400
5,"(0, 0, 2)","(1, 0, 0, 5)",pchip,sarima,1,sarima_002_100_5
5,"(1, 0, 0)","(1, 0, 0, 5)",spline,sarima,1,sarima_100_100_5
6,"(0, 1, 1)","(0, 0, 0, 0)","linear, pchip","arima, sarima",4,arima_011
6,"(2, 1, 1)","(0, 0, 0, 0)",spline,arima,1,arima_211
6,"(0, 1, 1)","(2, 0, 0, 5)",spline,sarima,1,sarima_011_200_5
7,"(0, 1, 1)","(0, 0, 0, 0)",pchip,arima,1,arima_011
7,"(0, 1, 2)","(0, 0, 0, 0)",linear,arima,1,arima_012
7,"(1, 1, 2)","(0, 0, 0, 0)",spline,"arima, sarima",2,arima_112
7,"(0, 1, 1)","(1, 0, 0, 5)","linear, pchip",sarima,2,sarima_011_100_5
8,"(0, 1, 1)","(0, 0, 0, 0)",spline,arima,1,arima_011
8,"(1, 1, 1)","(0, 0, 0, 0)","linear, pchip","arima, sarima",3,arima_111
8,"(1, 1, 3)","(0, 0, 0, 0)",pchip,sarima,1,arima_113
8,"(0, 1, 1)","(0, 0, 1, 5)",spline,sarima,1,sarima_011_001_5
9,"(0, 1, 1)","(0, 0, 0, 0)",pchip,sarima,1,arima_011
9,"(0, 1, 3)","(0, 0, 0, 0)",spline,"arima, sarima",2,arima_013
9,"(2, 1, 1)","(0, 0, 0, 0)",pchip,arima,1,arima_211
9,"(3, 1, 1)","(0, 0, 0, 0)",linear,"arima, sarima",2,arima_311
10,"(0, 1, 2)","(0, 0, 0, 0)","linear, pchip, spline","arima, sarima",5,arima_012
10,"(0, 1, 2)","(0, 0, 2, 5)",pchip,sarima,1,sarima_012_002_5
11,"(1, 1, 1)","(0, 0, 0, 0)","linear, pchip, spline",arima,3,arima_111
11,"(1, 1, 1)","(0, 0, 1, 5)",spline,sarima,1,sarima_111_001_5
11,"(1, 1, 2)","(0, 0, 1, 5)",linear,sarima,1,sarima_112_001_5
11,"(1, 1, 2)","(1, 0, 0, 5)",pchip,sarima,1,sarima_112_100_5
12,"(2, 0, 1)","(0, 0, 0, 0)",spline,sarima,1,arima_201
12,"(4, 0, 0)","(0, 0, 0, 0)","linear, pchip",sarima,2,arima_400
12,"(5, 0, 0)","(0, 0, 0, 0)","linear, pchip, spline",arima,3,arima_500
13,"(0, 1, 3)","(0, 0, 0, 0)","linear, pchip",arima,2,arima_013
13,"(4, 1, 1)","(0, 0, 0, 0)",spline,arima,1,arima_411
13,"(1, 1, 3)","(0, 0, 2, 5)",pchip,sarima,1,sarima_113_002_5
13,"(3, 1, 2)","(1, 0, 1, 5)",spline,sarima,1,sarima_312_101_5
13,"(4, 1, 2)","(1, 0, 1, 5)",linear,sarima,1,sarima_412_101_5
