material,horizon,candidate,order,seasonal_order,mean_smape,sum_smape,number_of_folds
1,10,arima_112,"(1, 1, 2)","(0, 0, 0, 0)",0.10521148696882493,2.8407101481582733,27
1,10,sarima_112_100_5,"(1, 1, 2)","(1, 0, 0, 5)",0.10202196839480403,2.7545931466597087,27
2,10,arima_111,"(1, 1, 1)","(0, 0, 0, 0)",0.1361064845120819,3.6748750818262113,27
3,10,arima_111,"(1, 1, 1)","(0, 0, 0, 0)",0.1557666274815043,4.205698942000616,27
3,10,sarima_111_002_5,"(1, 1, 1)","(0, 0, 2, 5)",0.15529330892651383,4.192919341015873,27
4,10,arima_011,"(0, 1, 1)","(0, 0, 0, 0)",0.15993545953300364,4.318257407391099,27
4,10,arima_012,"(0, 1, 2)","(0, 0, 0, 0)",0.16198423221149152,4.3735742697102715,27
5,10,arima_102,"(1, 0, 2)","(0, 0, 0, 0)",0.10261218243624201,2.7705289257785344,27
5,10,arima_202,"(2, 0, 2)","(0, 0, 0, 0)",0.10228087314707242,2.761583574970955,27
5,10,arima_400,"(4, 0, 0)","(0, 0, 0, 0)",0.1016655219908528,2.7449690937530256,27
5,10,sarima_002_100_5,"(0, 0, 2)","(1, 0, 0, 5)",0.1253999214334,3.3857978787018004,27
5,10,sarima_100_100_5,"(1, 0, 0)","(1, 0, 0, 5)",0.17351136103266682,4.684806747882004,27
6,10,arima_011,"(0, 1, 1)","(0, 0, 0, 0)",0.12748419398297053,3.4420732375402046,27
6,10,arima_211,"(2, 1, 1)","(0, 0, 0, 0)",0.12703397368823138,3.4299172895822476,27
6,10,sarima_011_200_5,"(0, 1, 1)","(2, 0, 0, 5)",0.12713720137898424,3.432704437232575,27
7,10,arima_011,"(0, 1, 1)","(0, 0, 0, 0)",0.24814180026539318,6.699828607165616,27
7,10,arima_012,"(0, 1, 2)","(0, 0, 0, 0)",0.24803441374035734,6.696929170989648,27
7,10,arima_112,"(1, 1, 2)","(0, 0, 0, 0)",0.24812557908265867,6.699390635231784,27
7,10,sarima_011_100_5,"(0, 1, 1)","(1, 0, 0, 5)",0.24812304424412823,6.6993221945914625,27
8,10,arima_011,"(0, 1, 1)","(0, 0, 0, 0)",0.1788917702269508,4.8300777961276715,27
8,10,arima_111,"(1, 1, 1)","(0, 0, 0, 0)",0.17892216117521262,4.830898351730741,27
8,10,arima_113,"(1, 1, 3)","(0, 0, 0, 0)",0.17960774078374817,4.8494090011612005,27
8,10,sarima_011_001_5,"(0, 1, 1)","(0, 0, 1, 5)",0.17926772876915958,4.840228676767309,27
9,10,arima_011,"(0, 1, 1)","(0, 0, 0, 0)",0.1804563763589723,4.872322161692252,27
9,10,arima_013,"(0, 1, 3)","(0, 0, 0, 0)",0.18006531745201038,4.86176357120428,27
9,10,arima_211,"(2, 1, 1)","(0, 0, 0, 0)",0.17985228935581818,4.856011812607091,27
9,10,arima_311,"(3, 1, 1)","(0, 0, 0, 0)",0.1799565438426663,4.85882668375199,27
10,10,arima_012,"(0, 1, 2)","(0, 0, 0, 0)",0.11002942704314468,2.9707945301649064,27
10,10,sarima_012_002_5,"(0, 1, 2)","(0, 0, 2, 5)",0.11016819274413309,2.9745412040915933,27
11,10,arima_111,"(1, 1, 1)","(0, 0, 0, 0)",0.41400676288053945,11.178182597774565,27
