material,horizon,candidate,fold,order,seasonal_order,sMAPE
1,10,arima_112,1,"(1, 1, 2)","(0, 0, 0, 0)",0.0857459713062564
1,10,arima_112,2,"(1, 1, 2)","(0, 0, 0, 0)",0.19069320726945094
1,10,arima_112,3,"(1, 1, 2)","(0, 0, 0, 0)",0.11933087488128023
1,10,arima_112,4,"(1, 1, 2)","(0, 0, 0, 0)",0.04413127195523976
1,10,arima_112,5,"(1, 1, 2)","(0, 0, 0, 0)",0.08202583725834629
1,10,arima_112,6,"(1, 1, 2)","(0, 0, 0, 0)",0.13910968634337248
1,10,arima_112,7,"(1, 1, 2)","(0, 0, 0, 0)",0.09103047721227814
1,10,arima_112,8,"(1, 1, 2)","(0, 0, 0, 0)",0.09433860861813775
1,10,arima_112,9,"(1, 1, 2)","(0, 0, 0, 0)",0.27096222343351456
1,10,arima_112,10,"(1, 1, 2)","(0, 0, 0, 0)",0.18708343858633927
1,10,arima_112,11,"(1, 1, 2)","(0, 0, 0, 0)",0.11944692255479106
1,10,arima_112,12,"(1, 1, 2)","(0, 0, 0, 0)",0.14499478064535998
1,10,arima_112,13,"(1, 1, 2)","(0, 0, 0, 0)",0.07073273843753253
1,10,arima_112,14,"(1, 1, 2)","(0, 0, 0, 0)",0.060299789293759544
1,10,arima_112,15,"(1, 1, 2)","(0, 0, 0, 0)",0.06909380935266668
1,10,arima_112,16,"(1, 1, 2)","(0, 0, 0, 0)",0.09256109455347841
1,10,arima_112,17,"(1, 1, 2)","(0, 0, 0, 0)",0.09374089057774651
1,10,arima_112,18,"(1, 1, 2)","(0, 0, 0, 0)",0.07351416127397088
1,10,arima_112,19,"(1, 1, 2)","(0, 0, 0, 0)",0.1376514357273226
1,10,arima_112,20,"(1, 1, 2)","(0, 0, 0, 0)",0.09430208201892984
1,10,arima_112,21,"(1, 1, 2)","(0, 0, 0, 0)",0.06565091445987019
1,10,arima_112,22,"(1, 1, 2)","(0, 0, 0, 0)",0.13082068442900788
1,10,arima_112,23,"(1, 1, 2)","(0, 0, 0, 0)",0.07225964554084968
1,10,arima_112,24,"(1, 1, 2)","(0, 0, 0, 0)",0.12394053371377263
1,10,arima_112,25,"(1, 1, 2)","(0, 0, 0, 0)",0.07845979902273782
1,10,arima_112,26,"(1, 1, 2)","(0, 0, 0, 0)",0.06269970608203507
1,10,arima_112,27,"(1, 1, 2)","(0, 0, 0, 0)",0.04608956361022611
1,10,sarima_112_100_5,1,"(1, 1, 2)","(1, 0, 0, 5)",0.0885551139688377
1,10,sarima_112_100_5,2,"(1, 1, 2)","(1, 0, 0, 5)",0.19313537639538764
1,10,sarima_112_100_5,3,"(1, 1, 2)","(1, 0, 0, 5)",0.12147538879768827
1,10,sarima_112_100_5,4,"(1, 1, 2)","(1, 0, 0, 5)",0.03447117502525138
1,10,sarima_112_100_5,5,"(1, 1, 2)","(1, 0, 0, 5)",0.09434297487350886
1,10,sarima_112_100_5,6,"(1, 1, 2)","(1, 0, 0, 5)",0.13945287276488824
1,10,sarima_112_100_5,7,"(1, 1, 2)","(1, 0, 0, 5)",0.09777169350155177
1,10,sarima_112_100_5,8,"(1, 1, 2)","(1, 0, 0, 5)",0.07691923319753619
1,10,sarima_112_100_5,9,"(1, 1, 2)","(1, 0, 0, 5)",0.24597771515352776
1,10,sarima_112_100_5,10,"(1, 1, 2)","(1, 0, 0, 5)",0.19505052276634557
1,10,sarima_112_100_5,11,"(1, 1, 2)","(1, 0, 0, 5)",0.09593526186004954
1,10,sarima_112_100_5,12,"(1, 1, 2)","(1, 0, 0, 5)",0.14238683887080592
