horizon,material,model,mean_smape,std_smape,sum_smape,n_expected_folds,n_evaluated_folds
10,1,naive,0.13566914396615287,0.07244332069062587,3.663066887086128,27,27
10,1,moving_average,0.1032584834185197,0.05674129875678907,2.787979052300032,27,27
10,2,naive,0.21927687501411797,0.35461184162617526,5.920475625381185,27,27
10,2,moving_average,0.1379983106824665,0.0643710936276553,3.725954388426596,27,27
10,3,naive,0.1806047725997349,0.12467138959074425,4.876328860192842,27,27
10,3,moving_average,0.16805109376179087,0.10719492434369532,4.537379531568353,27,27
10,4,naive,0.2550432374809669,0.35607285796873905,6.886167411986106,27,27
10,4,moving_average,0.15039927267298955,0.09543991812409608,4.060780362170718,27,27
10,5,naive,0.12142243070463746,0.054112282564564136,3.2784056290252113,27,27
10,5,moving_average,0.09984512870836973,0.06112353538850845,2.6958184751259826,27,27
10,6,naive,0.13895504733323516,0.05778387828753819,3.751786277997349,27,27
10,6,moving_average,0.12677771813651773,0.052475260240755,3.4229983896859784,27,27
10,7,naive,0.3467154814735924,0.34597878652127545,9.361317999786994,27,27
10,7,moving_average,0.269038964775403,0.13584768102300282,7.264052048935881,27,27
10,8,naive,0.22585225598554043,0.15227033977212268,6.098010911609592,27,27
10,8,moving_average,0.18189732030385286,0.09248088303420776,4.911227648204028,27,27
10,9,naive,0.2901365013000871,0.3648018367891681,7.833685535102353,27,27
10,9,moving_average,0.18140279653040856,0.11115974091481938,4.897875506321031,27,27
10,10,naive,0.14297806514888517,0.07976491828552724,3.8604077590198997,27,27
10,10,moving_average,0.11210925900382566,0.04493012583671485,3.026949993103293,27,27
10,11,naive,0.3920133512969232,0.4689080677119036,10.584360485016926,27,27
10,11,moving_average,0.4223375696825797,0.5030423927342828,11.403114381429651,27,27
10,12,naive,1.0132303955738038,0.5086477347177326,27.357220680492702,27,27
10,12,moving_average,1.023062813091323,0.39827956436631157,27.622695953465723,27,27
10,13,naive,0.5197879834246186,0.5981003432087941,14.034275552464702,27,27
10,13,moving_average,1.1494970763723296,0.7605214633013307,31.0364210620529,27,27
22,1,naive,0.11230095372548894,0.05264342556794833,1.3476114447058674,12,12
22,1,moving_average,0.11074775817448483,0.030763127312707365,1.328973098093818,12,12
22,2,naive,0.36577503776098214,0.52576876435378,4.389300453131786,12,12
22,2,moving_average,0.15481721458274358,0.064003044622858,1.857806574992923,12,12
22,3,naive,0.20811590196228413,0.1129899429007732,2.4973908235474096,12,12
22,3,moving_average,0.15101868450993994,0.07088627433272177,1.8122242141192793,12,12
22,4,naive,0.33846910388978996,0.5037583895373728,4.061629246677479,12,12
22,4,moving_average,0.14728927837530467,0.03674189277802983,1.7674713405036562,12,12
22,5,naive,0.13728287719196208,0.10620946795059226,1.647394526303545,12,12
22,5,moving_average,0.11056011619658174,0.04345796112370417,1.3267213943589808,12,12
22,6,naive,0.15103374181475437,0.0640707517964326,1.8124049017770525,12,12
22,6,moving_average,0.13583953085269804,0.030064967128054076,1.6300743702323763,12,12
22,7,naive,0.4560101016264467,0.4995847781833277,5.47212121951736,12,12
