horizon,material,model,mean_smape,std_smape,sum_smape,n_expected_folds,n_evaluated_folds
10,1,naive,0.13566914396615287,0.07244332069062587,3.663066887086128,27,27
10,2,naive,0.21927687501411797,0.35461184162617526,5.920475625381185,27,27
10,3,naive,0.1806047725997349,0.12467138959074425,4.876328860192842,27,27
10,4,naive,0.2550432374809669,0.35607285796873905,6.886167411986106,27,27
10,5,naive,0.12142243070463746,0.054112282564564136,3.2784056290252113,27,27
10,6,naive,0.13895504733323516,0.05778387828753819,3.751786277997349,27,27
10,7,naive,0.3467154814735924,0.34597878652127545,9.361317999786994,27,27
10,8,naive,0.22585225598554043,0.15227033977212268,6.098010911609592,27,27
10,9,naive,0.2901365013000871,0.3648018367891681,7.833685535102353,27,27
10,10,naive,0.14297806514888517,0.07976491828552724,3.8604077590198997,27,27
10,11,naive,0.3920133512969232,0.4689080677119036,10.584360485016926,27,27
10,12,naive,1.0132303955738038,0.5086477347177326,27.357220680492702,27,27
10,13,naive,0.5197879834246186,0.5981003432087941,14.034275552464702,27,27
10,1,moving_average,0.1032584834185197,0.05674129875678907,2.787979052300032,27,27
10,2,moving_average,0.1379983106824665,0.0643710936276553,3.725954388426596,27,27
10,3,moving_average,0.16805109376179087,0.10719492434369532,4.537379531568353,27,27
10,4,moving_average,0.15039927267298955,0.09543991812409608,4.060780362170718,27,27
10,5,moving_average,0.09984512870836973,0.06112353538850845,2.6958184751259826,27,27
10,6,moving_average,0.12677771813651773,0.052475260240755,3.4229983896859784,27,27
10,7,moving_average,0.269038964775403,0.13584768102300282,7.264052048935881,27,27
10,8,moving_average,0.18189732030385286,0.09248088303420776,4.911227648204028,27,27
10,9,moving_average,0.18140279653040856,0.11115974091481938,4.897875506321031,27,27
10,10,moving_average,0.11210925900382566,0.04493012583671485,3.026949993103293,27,27
10,11,moving_average,0.4223375696825797,0.5030423927342828,11.403114381429651,27,27
10,12,moving_average,1.023062813091323,0.39827956436631157,27.622695953465723,27,27
10,13,moving_average,1.1494970763723296,0.7605214633013307,31.0364210620529,27,27
10,1,ridge_lags_1_5_10_alpha_1,0.14550382565945275,0.06325031937073043,3.9286032928052244,27,27
10,2,ridge_lags_1_5_10_alpha_1,0.16535702558414564,0.08302170694188421,4.464639690771932,27,27
10,3,ridge_lags_1_5_10_alpha_1,0.16063449040753408,0.10911711076024985,4.33713124100342,27,27
10,4,ridge_lags_1_5_10_alpha_1,0.17671412142718085,0.1084580338808231,4.771281278533883,27,27
10,5,ridge_lags_1_5_10_alpha_1,0.1187001038048603,0.07150080882680361,3.2049028027312283,27,27
10,6,ridge_lags_1_5_10_alpha_1,0.14497647136337916,0.05861428896365162,3.9143647268112374,27,27
10,7,ridge_lags_1_5_10_alpha_1,0.28400763338750923,0.14329949440033066,7.66820610146275,27,27
10,8,ridge_lags_1_5_10_alpha_1,0.2370432499818316,0.1738833237551497,6.400167749509453,27,27
10,9,ridge_lags_1_5_10_alpha_1,0.23096183049936342,0.15050757970279113,6.235969423482812,27,27
10,10,ridge_lags_1_5_10_alpha_1,0.11913262314769446,0.04654261797466654,3.2165808249877506,27,27
10,11,ridge_lags_1_5_10_alpha_1,0.5172748051412556,0.5304125860354313,13.9664197388139,27,27
10,12,ridge_lags_1_5_10_alpha_1,1.239877157709144,0.42192398866407865,33.47668325814689,27,27
10,13,ridge_lags_1_5_10_alpha_1,1.8057045709711528,0.25759580600940946,48.75402341622112,27,27
10,1,ridge_lags_1_2_5_alpha_1,0.15526735474275105,0.06957770822525666,4.192218578054279,27,27
