horizon,material,model,fold,train_end,test_start,test_end,n_test,n_observed,smape
10,1,ridge_base_alpha_0.0001_input_lag10,1,2023-12-27,2023-12-28,2024-01-10,10,9,0.11504143080526284
10,1,ridge_base_alpha_0.0001_input_lag10,2,2024-01-10,2024-01-11,2024-01-24,10,10,0.23275341506182273
10,1,ridge_base_alpha_0.0001_input_lag10,3,2024-01-24,2024-01-25,2024-02-07,10,10,0.07019632786880407
10,1,ridge_base_alpha_0.0001_input_lag10,4,2024-02-07,2024-02-08,2024-02-21,10,6,0.11296209730352409
10,1,ridge_base_alpha_0.0001_input_lag10,5,2024-02-21,2024-02-22,2024-03-06,10,10,0.06819385335843259
10,1,ridge_base_alpha_0.0001_input_lag10,6,2024-03-06,2024-03-07,2024-03-20,10,10,0.08854616546659341
10,1,ridge_base_alpha_0.0001_input_lag10,7,2024-03-20,2024-03-21,2024-04-03,10,10,0.13193259453130993
10,1,ridge_base_alpha_0.0001_input_lag10,8,2024-04-03,2024-04-04,2024-04-17,10,10,0.07134273594446165
10,1,ridge_base_alpha_0.0001_input_lag10,9,2024-04-17,2024-04-18,2024-05-01,10,10,0.20214819829958813
10,1,ridge_base_alpha_0.0001_input_lag10,10,2024-05-01,2024-05-02,2024-05-15,10,10,0.23671790735150694
10,1,ridge_base_alpha_0.0001_input_lag10,11,2024-05-15,2024-05-16,2024-05-29,10,10,0.1104279259411654
10,1,ridge_base_alpha_0.0001_input_lag10,12,2024-05-29,2024-05-30,2024-06-12,10,10,0.11756827214769001
10,1,ridge_base_alpha_0.0001_input_lag10,13,2024-06-12,2024-06-13,2024-06-26,10,10,0.10861687141893045
10,1,ridge_base_alpha_0.0001_input_lag10,14,2024-06-26,2024-06-27,2024-07-10,10,10,0.059931425424488205
10,1,ridge_base_alpha_0.0001_input_lag10,15,2024-07-10,2024-07-11,2024-07-24,10,10,0.06307551542472087
10,1,ridge_base_alpha_0.0001_input_lag10,16,2024-07-24,2024-07-25,2024-08-07,10,10,0.09042767472917695
10,1,ridge_base_alpha_0.0001_input_lag10,17,2024-08-07,2024-08-08,2024-08-21,10,10,0.10389440228041891
10,1,ridge_base_alpha_0.0001_input_lag10,18,2024-08-21,2024-08-22,2024-09-04,10,10,0.08023880441266625
10,1,ridge_base_alpha_0.0001_input_lag10,19,2024-09-04,2024-09-05,2024-09-18,10,10,0.14845614957284706
10,1,ridge_base_alpha_0.0001_input_lag10,20,2024-09-18,2024-09-19,2024-10-02,10,10,0.10302545275819584
