horizon,material,model,fold,train_end,test_start,test_end,n_test,n_observed,smape
132,1,ridge_h132_m1_roll22_alpha_0.0001,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.11323015874263548
132,1,ridge_h132_m1_roll22_alpha_0.0001,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.21299550067577652
132,1,ridge_h132_m1_roll22_alpha_0.01,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.11327094051198147
132,1,ridge_h132_m1_roll22_alpha_0.01,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.21338552603278368
132,2,ridge_h132_m2_roll66_alpha_0.0001,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.22952729039915878
132,2,ridge_h132_m2_roll66_alpha_0.0001,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.12065524723696752
132,2,ridge_h132_m2_roll66_alpha_0.01,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.23019799798861731
132,2,ridge_h132_m2_roll66_alpha_0.01,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.12014283882200022
132,3,ridge_h132_m3_roll132_alpha_0.0001,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.14458026274150246
132,3,ridge_h132_m3_roll132_alpha_0.0001,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.16300721201279117
132,3,ridge_h132_m3_roll132_alpha_0.01,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.14477953838081353
132,3,ridge_h132_m3_roll132_alpha_0.01,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.1631521208907709
132,4,ridge_h132_m4_roll132_alpha_0.0001,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.15253779977640147
132,4,ridge_h132_m4_roll132_alpha_0.0001,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.15732053239191482
132,4,ridge_h132_m4_roll132_alpha_0.01,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.15262775281075455
132,4,ridge_h132_m4_roll132_alpha_0.01,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.15737998456478533
132,5,ridge_h132_m5_roll22_alpha_0.0001,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.118995536886171
132,5,ridge_h132_m5_roll22_alpha_0.0001,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.09355119293418383
132,5,ridge_h132_m5_roll22_alpha_0.01,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.12729618264012538
132,5,ridge_h132_m5_roll22_alpha_0.01,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.09198424825875728
132,6,ridge_h132_m6_roll22_alpha_0.0001,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.1734647675204767
132,6,ridge_h132_m6_roll22_alpha_0.0001,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.12524858496707175
132,6,ridge_h132_m6_roll22_alpha_0.01,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.1716104698904869
132,6,ridge_h132_m6_roll22_alpha_0.01,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.1305972947191489
132,7,ridge_h132_m7_roll132_alpha_0.0001,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.21277327455654843
132,7,ridge_h132_m7_roll132_alpha_0.0001,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.3140048096858592
132,7,ridge_h132_m7_roll132_alpha_0.01,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.21764630805138402
132,7,ridge_h132_m7_roll132_alpha_0.01,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.31511035681789473
132,8,ridge_h132_m8_roll66_alpha_0.0001,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.33567766002992844
132,8,ridge_h132_m8_roll66_alpha_0.0001,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.1483179072760307
132,8,ridge_h132_m8_roll66_alpha_0.01,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.34053612163188834
132,8,ridge_h132_m8_roll66_alpha_0.01,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.1427622677670158
132,9,ridge_h132_m9_roll22_alpha_0.0001,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.2752574754470184
132,9,ridge_h132_m9_roll22_alpha_0.0001,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.1432733045269241
132,9,ridge_h132_m9_roll22_alpha_0.01,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.2971270339899184
132,9,ridge_h132_m9_roll22_alpha_0.01,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.14298540024271672
132,10,ridge_h132_m10_no_roll_alpha_0.0001,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.15838573728556468
132,10,ridge_h132_m10_no_roll_alpha_0.0001,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.09484159669506767
132,10,ridge_h132_m10_no_roll_alpha_0.01,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.15827558305111916
132,10,ridge_h132_m10_no_roll_alpha_0.01,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.09482967933055084
132,11,ridge_h132_m11_roll66_alpha_0.0001,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.44683936536211366
132,11,ridge_h132_m11_roll66_alpha_0.0001,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.48207329930259085
132,11,ridge_h132_m11_roll66_alpha_0.01,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.5118933356586007
132,11,ridge_h132_m11_roll66_alpha_0.01,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.4816159569796599
132,12,ridge_h132_m12_roll132_alpha_0.0001,1,2023-12-27,2023-12-28,2024-06-28,132,127,1.33492878753146
132,12,ridge_h132_m12_roll132_alpha_0.0001,2,2024-06-28,2024-07-01,2024-12-31,132,131,1.0755595211515876
132,12,ridge_h132_m12_roll132_alpha_0.01,1,2023-12-27,2023-12-28,2024-06-28,132,127,1.3412428396458487
132,12,ridge_h132_m12_roll132_alpha_0.01,2,2024-06-28,2024-07-01,2024-12-31,132,131,1.0789069630676145
132,13,ridge_h132_m13_no_roll_alpha_0.0001,1,2023-12-27,2023-12-28,2024-06-28,132,127,1.7791201826156593
132,13,ridge_h132_m13_no_roll_alpha_0.0001,2,2024-06-28,2024-07-01,2024-12-31,132,131,1.8401226718036878
132,13,ridge_h132_m13_no_roll_alpha_0.01,1,2023-12-27,2023-12-28,2024-06-28,132,127,1.7791095048101633
132,13,ridge_h132_m13_no_roll_alpha_0.01,2,2024-06-28,2024-07-01,2024-12-31,132,131,1.8401185320998468
