horizon,material,model,fold,train_end,test_start,test_end,n_test,n_observed,smape
132,1,ridge_h132_m1_roll22_alpha_0.0001_dow,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.11430850161949897
132,1,ridge_h132_m1_roll22_alpha_0.0001_dow,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.2125554051739352
132,1,ridge_h132_m1_roll22_alpha_0.0001_holiday,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.11295839767314601
132,1,ridge_h132_m1_roll22_alpha_0.0001_holiday,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.21275811975070866
132,1,ridge_h132_m1_roll22_alpha_0.0001_schoolholiday,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.11060603506319606
132,1,ridge_h132_m1_roll22_alpha_0.0001_schoolholiday,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.20395421770932695
132,2,ridge_h132_m2_roll66_alpha_0.0001_dow,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.2297752064779685
132,2,ridge_h132_m2_roll66_alpha_0.0001_dow,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.12136982802019851
132,2,ridge_h132_m2_roll66_alpha_0.0001_holiday,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.22952793980819292
132,2,ridge_h132_m2_roll66_alpha_0.0001_holiday,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.12220084138726432
132,2,ridge_h132_m2_roll66_alpha_0.0001_schoolholiday,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.22708774598698467
132,2,ridge_h132_m2_roll66_alpha_0.0001_schoolholiday,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.12535077849929624
132,3,ridge_h132_m3_roll132_alpha_0.0001_dow,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.1426277389961483
132,3,ridge_h132_m3_roll132_alpha_0.0001_dow,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.16374054455782738
132,3,ridge_h132_m3_roll132_alpha_0.0001_holiday,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.14670866828212253
132,3,ridge_h132_m3_roll132_alpha_0.0001_holiday,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.16729511151610593
132,3,ridge_h132_m3_roll132_alpha_0.0001_schoolholiday,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.14418764222612312
132,3,ridge_h132_m3_roll132_alpha_0.0001_schoolholiday,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.16282591999578125
132,4,ridge_h132_m4_roll132_alpha_0.0001_dow,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.15347719284127537
132,4,ridge_h132_m4_roll132_alpha_0.0001_dow,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.1580420973492783
132,4,ridge_h132_m4_roll132_alpha_0.0001_holiday,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.16720575489155828
132,4,ridge_h132_m4_roll132_alpha_0.0001_holiday,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.1617635733661444
132,4,ridge_h132_m4_roll132_alpha_0.0001_schoolholiday,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.15163252141154707
132,4,ridge_h132_m4_roll132_alpha_0.0001_schoolholiday,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.1573039377357621
132,5,ridge_h132_m5_roll22_alpha_0.0001_dow,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.11834588440974723
132,5,ridge_h132_m5_roll22_alpha_0.0001_dow,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.09291604658019473
132,5,ridge_h132_m5_roll22_alpha_0.0001_holiday,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.12015044371042742
132,5,ridge_h132_m5_roll22_alpha_0.0001_holiday,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.09458332333304416
132,5,ridge_h132_m5_roll22_alpha_0.0001_schoolholiday,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.11917959672156382
132,5,ridge_h132_m5_roll22_alpha_0.0001_schoolholiday,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.09722427687288351
132,6,ridge_h132_m6_roll22_alpha_0.0001_dow,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.17475787678034724
132,6,ridge_h132_m6_roll22_alpha_0.0001_dow,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.12808605365269687
132,6,ridge_h132_m6_roll22_alpha_0.0001_holiday,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.18665076616224036
132,6,ridge_h132_m6_roll22_alpha_0.0001_holiday,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.1271597758353191
132,6,ridge_h132_m6_roll22_alpha_0.0001_schoolholiday,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.16798543008904246
132,6,ridge_h132_m6_roll22_alpha_0.0001_schoolholiday,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.13120549308990537
132,7,ridge_h132_m7_roll132_alpha_0.0001_dow,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.22190910339819397
132,7,ridge_h132_m7_roll132_alpha_0.0001_dow,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.31643764695855614
132,7,ridge_h132_m7_roll132_alpha_0.0001_holiday,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.21443593355775592
132,7,ridge_h132_m7_roll132_alpha_0.0001_holiday,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.31403577201692195
132,7,ridge_h132_m7_roll132_alpha_0.0001_schoolholiday,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.2113506936866266
132,7,ridge_h132_m7_roll132_alpha_0.0001_schoolholiday,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.3170208917209207
132,8,ridge_h132_m8_roll66_alpha_0.01_dow,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.3351115402101303
132,8,ridge_h132_m8_roll66_alpha_0.01_dow,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.1497925552831594
132,8,ridge_h132_m8_roll66_alpha_0.01_holiday,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.34289736541351873
132,8,ridge_h132_m8_roll66_alpha_0.01_holiday,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.14088843470141524
132,8,ridge_h132_m8_roll66_alpha_0.01_schoolholiday,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.32417373012667383
132,8,ridge_h132_m8_roll66_alpha_0.01_schoolholiday,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.13379783421387606
132,9,ridge_h132_m9_roll22_alpha_0.0001_dow,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.27491801217028294
132,9,ridge_h132_m9_roll22_alpha_0.0001_dow,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.143290187782663
132,9,ridge_h132_m9_roll22_alpha_0.0001_holiday,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.31568554247764413
132,9,ridge_h132_m9_roll22_alpha_0.0001_holiday,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.14334553861099097
132,9,ridge_h132_m9_roll22_alpha_0.0001_schoolholiday,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.26769841198581973
132,9,ridge_h132_m9_roll22_alpha_0.0001_schoolholiday,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.14272829286399788
132,10,ridge_h132_m10_no_roll_alpha_0.01_dow,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.15717332698804587
132,10,ridge_h132_m10_no_roll_alpha_0.01_dow,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.0934392977693758
132,10,ridge_h132_m10_no_roll_alpha_0.01_holiday,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.15558690008041295
132,10,ridge_h132_m10_no_roll_alpha_0.01_holiday,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.09477517274791536
132,10,ridge_h132_m10_no_roll_alpha_0.01_schoolholiday,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.1616793535581877
132,10,ridge_h132_m10_no_roll_alpha_0.01_schoolholiday,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.09911816207128425
132,11,ridge_h132_m11_roll66_alpha_0.0001_dow,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.44559675772608137
132,11,ridge_h132_m11_roll66_alpha_0.0001_dow,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.48220146148610127
132,11,ridge_h132_m11_roll66_alpha_0.0001_holiday,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.43968297226508213
132,11,ridge_h132_m11_roll66_alpha_0.0001_holiday,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.4824605309731321
132,11,ridge_h132_m11_roll66_alpha_0.0001_schoolholiday,1,2023-12-27,2023-12-28,2024-06-28,132,127,0.4547379882357278
132,11,ridge_h132_m11_roll66_alpha_0.0001_schoolholiday,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.49641315035271577
132,12,ridge_h132_m12_roll132_alpha_0.0001_dow,1,2023-12-27,2023-12-28,2024-06-28,132,127,1.3381242312157073
132,12,ridge_h132_m12_roll132_alpha_0.0001_dow,2,2024-06-28,2024-07-01,2024-12-31,132,131,1.0800514788294202
132,12,ridge_h132_m12_roll132_alpha_0.0001_holiday,1,2023-12-27,2023-12-28,2024-06-28,132,127,1.335705659839574
132,12,ridge_h132_m12_roll132_alpha_0.0001_holiday,2,2024-06-28,2024-07-01,2024-12-31,132,131,1.0737159954954083
132,12,ridge_h132_m12_roll132_alpha_0.0001_schoolholiday,1,2023-12-27,2023-12-28,2024-06-28,132,127,1.336205280816957
132,12,ridge_h132_m12_roll132_alpha_0.0001_schoolholiday,2,2024-06-28,2024-07-01,2024-12-31,132,131,1.0739752222691608
132,13,ridge_h132_m13_no_roll_alpha_0.01_dow,1,2023-12-27,2023-12-28,2024-06-28,132,127,1.7820753632568729
132,13,ridge_h132_m13_no_roll_alpha_0.01_dow,2,2024-06-28,2024-07-01,2024-12-31,132,131,1.8395062198531476
