horizon,material,model,fold,train_end,test_start,test_end,n_test,n_observed,smape
132,1,ridge_h132_m1_roll22_alpha_0.0001_schoolholiday_input_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
132,1,ridge_h132_m1_roll22_alpha_0.0001_schoolholiday_input_lag132,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.23072761828775828
132,1,ridge_h132_m1_roll22_alpha_0.0001_schoolholiday_input_mean5_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
132,1,ridge_h132_m1_roll22_alpha_0.0001_schoolholiday_input_mean5_lag132,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.24976913052071326
132,1,ridge_h132_m1_roll22_alpha_0.0001_schoolholiday_input_mean132_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
132,1,ridge_h132_m1_roll22_alpha_0.0001_schoolholiday_input_mean132_lag132,2,2024-06-28,2024-07-01,2024-12-31,132,131,
132,2,ridge_h132_m2_roll66_alpha_0.0001_input_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
132,2,ridge_h132_m2_roll66_alpha_0.0001_input_lag132,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.11869657033192599
132,2,ridge_h132_m2_roll66_alpha_0.0001_input_mean5_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
132,2,ridge_h132_m2_roll66_alpha_0.0001_input_mean5_lag132,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.12150354753666572
132,2,ridge_h132_m2_roll66_alpha_0.0001_input_mean132_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
132,2,ridge_h132_m2_roll66_alpha_0.0001_input_mean132_lag132,2,2024-06-28,2024-07-01,2024-12-31,132,131,
132,3,ridge_h132_m3_roll132_alpha_0.0001_dow_input_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
132,3,ridge_h132_m3_roll132_alpha_0.0001_dow_input_lag132,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.1663106292406275
132,3,ridge_h132_m3_roll132_alpha_0.0001_dow_input_mean5_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
132,3,ridge_h132_m3_roll132_alpha_0.0001_dow_input_mean5_lag132,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.16653681457957475
132,3,ridge_h132_m3_roll132_alpha_0.0001_dow_input_mean132_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
132,3,ridge_h132_m3_roll132_alpha_0.0001_dow_input_mean132_lag132,2,2024-06-28,2024-07-01,2024-12-31,132,131,
132,4,ridge_h132_m4_roll132_alpha_0.0001_schoolholiday_input_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
132,4,ridge_h132_m4_roll132_alpha_0.0001_schoolholiday_input_lag132,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.15856655401800332
132,4,ridge_h132_m4_roll132_alpha_0.0001_schoolholiday_input_mean5_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
132,4,ridge_h132_m4_roll132_alpha_0.0001_schoolholiday_input_mean5_lag132,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.15833567154479267
132,4,ridge_h132_m4_roll132_alpha_0.0001_schoolholiday_input_mean132_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
132,4,ridge_h132_m4_roll132_alpha_0.0001_schoolholiday_input_mean132_lag132,2,2024-06-28,2024-07-01,2024-12-31,132,131,
132,5,ridge_h132_m5_roll22_alpha_0.0001_dow_input_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
132,5,ridge_h132_m5_roll22_alpha_0.0001_dow_input_lag132,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.08928539590549658
132,5,ridge_h132_m5_roll22_alpha_0.0001_dow_input_mean5_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
132,5,ridge_h132_m5_roll22_alpha_0.0001_dow_input_mean5_lag132,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.10166251053469318
132,5,ridge_h132_m5_roll22_alpha_0.0001_dow_input_mean132_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
132,5,ridge_h132_m5_roll22_alpha_0.0001_dow_input_mean132_lag132,2,2024-06-28,2024-07-01,2024-12-31,132,131,
132,6,ridge_h132_m6_roll22_alpha_0.0001_input_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
132,6,ridge_h132_m6_roll22_alpha_0.0001_input_lag132,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.12850443192811964
132,6,ridge_h132_m6_roll22_alpha_0.0001_input_mean5_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
132,6,ridge_h132_m6_roll22_alpha_0.0001_input_mean5_lag132,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.11592426447474204
132,6,ridge_h132_m6_roll22_alpha_0.0001_input_mean132_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
132,6,ridge_h132_m6_roll22_alpha_0.0001_input_mean132_lag132,2,2024-06-28,2024-07-01,2024-12-31,132,131,
132,7,ridge_h132_m7_roll132_alpha_0.0001_input_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
132,7,ridge_h132_m7_roll132_alpha_0.0001_input_lag132,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.3113239830159085
132,7,ridge_h132_m7_roll132_alpha_0.0001_input_mean5_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
132,7,ridge_h132_m7_roll132_alpha_0.0001_input_mean5_lag132,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.3295797839040036
132,7,ridge_h132_m7_roll132_alpha_0.0001_input_mean132_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
132,7,ridge_h132_m7_roll132_alpha_0.0001_input_mean132_lag132,2,2024-06-28,2024-07-01,2024-12-31,132,131,
132,8,ridge_h132_m8_roll66_alpha_0.01_schoolholiday_input_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
132,8,ridge_h132_m8_roll66_alpha_0.01_schoolholiday_input_lag132,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.14734614640308724
132,8,ridge_h132_m8_roll66_alpha_0.01_schoolholiday_input_mean5_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
132,8,ridge_h132_m8_roll66_alpha_0.01_schoolholiday_input_mean5_lag132,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.12755060939790952
132,8,ridge_h132_m8_roll66_alpha_0.01_schoolholiday_input_mean132_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
132,8,ridge_h132_m8_roll66_alpha_0.01_schoolholiday_input_mean132_lag132,2,2024-06-28,2024-07-01,2024-12-31,132,131,
132,9,ridge_h132_m9_roll22_alpha_0.0001_schoolholiday_input_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
132,9,ridge_h132_m9_roll22_alpha_0.0001_schoolholiday_input_lag132,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.15299354322112482
132,9,ridge_h132_m9_roll22_alpha_0.0001_schoolholiday_input_mean5_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
132,9,ridge_h132_m9_roll22_alpha_0.0001_schoolholiday_input_mean5_lag132,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.13130872941723137
132,9,ridge_h132_m9_roll22_alpha_0.0001_schoolholiday_input_mean132_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
132,9,ridge_h132_m9_roll22_alpha_0.0001_schoolholiday_input_mean132_lag132,2,2024-06-28,2024-07-01,2024-12-31,132,131,
132,10,ridge_h132_m10_no_roll_alpha_0.01_holiday_input_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
132,10,ridge_h132_m10_no_roll_alpha_0.01_holiday_input_lag132,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.0970402371618973
132,10,ridge_h132_m10_no_roll_alpha_0.01_holiday_input_mean5_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
132,10,ridge_h132_m10_no_roll_alpha_0.01_holiday_input_mean5_lag132,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.09588285991435783
132,10,ridge_h132_m10_no_roll_alpha_0.01_holiday_input_mean132_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
132,10,ridge_h132_m10_no_roll_alpha_0.01_holiday_input_mean132_lag132,2,2024-06-28,2024-07-01,2024-12-31,132,131,
132,11,ridge_h132_m11_roll66_alpha_0.0001_holiday_input_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
132,11,ridge_h132_m11_roll66_alpha_0.0001_holiday_input_lag132,2,2024-06-28,2024-07-01,2024-12-31,132,131,0.6381336468289004
132,11,ridge_h132_m11_roll66_alpha_0.0001_holiday_input_mean5_lag132,1,2023-12-27,2023-12-28,2024-06-28,132,127,
