horizon,material,model,fold,train_end,test_start,test_end,n_test,n_observed,smape
22,1,ridge_h22_m1_roll22_alpha_0.0001,1,2023-12-27,2023-12-28,2024-01-26,22,21,0.19589328830738634
22,1,ridge_h22_m1_roll22_alpha_0.0001,2,2024-01-26,2024-01-29,2024-02-27,22,18,0.06445859661370022
22,1,ridge_h22_m1_roll22_alpha_0.0001,3,2024-02-27,2024-02-28,2024-03-28,22,22,0.09386501963888015
22,1,ridge_h22_m1_roll22_alpha_0.0001,4,2024-03-28,2024-03-29,2024-04-29,22,22,0.13126411389635695
22,1,ridge_h22_m1_roll22_alpha_0.0001,5,2024-04-29,2024-04-30,2024-05-29,22,22,0.13070336925658338
22,1,ridge_h22_m1_roll22_alpha_0.0001,6,2024-05-29,2024-05-30,2024-06-28,22,22,0.0959597920699918
22,1,ridge_h22_m1_roll22_alpha_0.0001,7,2024-06-28,2024-07-01,2024-07-30,22,22,0.07853949529122686
22,1,ridge_h22_m1_roll22_alpha_0.0001,8,2024-07-30,2024-07-31,2024-08-29,22,22,0.0885864536537078
22,1,ridge_h22_m1_roll22_alpha_0.0001,9,2024-08-29,2024-08-30,2024-09-30,22,22,0.15659452200060986
22,1,ridge_h22_m1_roll22_alpha_0.0001,10,2024-09-30,2024-10-01,2024-10-30,22,22,0.1329228932535864
22,1,ridge_h22_m1_roll22_alpha_0.0001,11,2024-10-30,2024-10-31,2024-11-29,22,22,0.15912938667534354
22,1,ridge_h22_m1_roll22_alpha_0.0001,12,2024-11-29,2024-12-02,2024-12-31,22,21,0.0620462784587691
22,1,ridge_h22_m1_roll22_alpha_0.01,1,2023-12-27,2023-12-28,2024-01-26,22,21,0.19767666099139738
22,1,ridge_h22_m1_roll22_alpha_0.01,2,2024-01-26,2024-01-29,2024-02-27,22,18,0.06576183906628982
22,1,ridge_h22_m1_roll22_alpha_0.01,3,2024-02-27,2024-02-28,2024-03-28,22,22,0.09209468166457734
22,1,ridge_h22_m1_roll22_alpha_0.01,4,2024-03-28,2024-03-29,2024-04-29,22,22,0.13122000374652837
22,1,ridge_h22_m1_roll22_alpha_0.01,5,2024-04-29,2024-04-30,2024-05-29,22,22,0.1306891564237201
22,1,ridge_h22_m1_roll22_alpha_0.01,6,2024-05-29,2024-05-30,2024-06-28,22,22,0.0958701032678738
22,1,ridge_h22_m1_roll22_alpha_0.01,7,2024-06-28,2024-07-01,2024-07-30,22,22,0.07838580838435605
22,1,ridge_h22_m1_roll22_alpha_0.01,8,2024-07-30,2024-07-31,2024-08-29,22,22,0.0886547861127487
22,1,ridge_h22_m1_roll22_alpha_0.01,9,2024-08-29,2024-08-30,2024-09-30,22,22,0.15762337771173784
22,1,ridge_h22_m1_roll22_alpha_0.01,10,2024-09-30,2024-10-01,2024-10-30,22,22,0.1351482717596565
22,1,ridge_h22_m1_roll22_alpha_0.01,11,2024-10-30,2024-10-31,2024-11-29,22,22,0.16257505738999367
22,1,ridge_h22_m1_roll22_alpha_0.01,12,2024-11-29,2024-12-02,2024-12-31,22,21,0.06300653477985971
22,2,ridge_h22_m2_roll22_alpha_0.0001,1,2023-12-27,2023-12-28,2024-01-26,22,21,0.29402858487755923
22,2,ridge_h22_m2_roll22_alpha_0.0001,2,2024-01-26,2024-01-29,2024-02-27,22,18,0.15016324803590744
22,2,ridge_h22_m2_roll22_alpha_0.0001,3,2024-02-27,2024-02-28,2024-03-28,22,22,0.07882983512989737
22,2,ridge_h22_m2_roll22_alpha_0.0001,4,2024-03-28,2024-03-29,2024-04-29,22,22,0.19110186723289405
22,2,ridge_h22_m2_roll22_alpha_0.0001,5,2024-04-29,2024-04-30,2024-05-29,22,22,0.1656811673044751
22,2,ridge_h22_m2_roll22_alpha_0.0001,6,2024-05-29,2024-05-30,2024-06-28,22,22,0.15248324132394386
22,2,ridge_h22_m2_roll22_alpha_0.0001,7,2024-06-28,2024-07-01,2024-07-30,22,22,0.10198343398536767
22,2,ridge_h22_m2_roll22_alpha_0.0001,8,2024-07-30,2024-07-31,2024-08-29,22,22,0.08049072337088645
22,2,ridge_h22_m2_roll22_alpha_0.0001,9,2024-08-29,2024-08-30,2024-09-30,22,22,0.06833841118342071
22,2,ridge_h22_m2_roll22_alpha_0.0001,10,2024-09-30,2024-10-01,2024-10-30,22,22,0.13303682226990896
22,2,ridge_h22_m2_roll22_alpha_0.0001,11,2024-10-30,2024-10-31,2024-11-29,22,22,0.12442421430077573
22,2,ridge_h22_m2_roll22_alpha_0.0001,12,2024-11-29,2024-12-02,2024-12-31,22,21,0.18551855897493696
22,2,ridge_h22_m2_roll22_alpha_0.01,1,2023-12-27,2023-12-28,2024-01-26,22,21,0.296679713516666
22,2,ridge_h22_m2_roll22_alpha_0.01,2,2024-01-26,2024-01-29,2024-02-27,22,18,0.15787225341149722
22,2,ridge_h22_m2_roll22_alpha_0.01,3,2024-02-27,2024-02-28,2024-03-28,22,22,0.08187687989460375
22,2,ridge_h22_m2_roll22_alpha_0.01,4,2024-03-28,2024-03-29,2024-04-29,22,22,0.18819913834382565
22,2,ridge_h22_m2_roll22_alpha_0.01,5,2024-04-29,2024-04-30,2024-05-29,22,22,0.16540244732082174
22,2,ridge_h22_m2_roll22_alpha_0.01,6,2024-05-29,2024-05-30,2024-06-28,22,22,0.14803221576409378
22,2,ridge_h22_m2_roll22_alpha_0.01,7,2024-06-28,2024-07-01,2024-07-30,22,22,0.10058548466349419
22,2,ridge_h22_m2_roll22_alpha_0.01,8,2024-07-30,2024-07-31,2024-08-29,22,22,0.07983178817403631
22,2,ridge_h22_m2_roll22_alpha_0.01,9,2024-08-29,2024-08-30,2024-09-30,22,22,0.06827096843053623
22,2,ridge_h22_m2_roll22_alpha_0.01,10,2024-09-30,2024-10-01,2024-10-30,22,22,0.13319508340255493
22,2,ridge_h22_m2_roll22_alpha_0.01,11,2024-10-30,2024-10-31,2024-11-29,22,22,0.12455429539202192
22,2,ridge_h22_m2_roll22_alpha_0.01,12,2024-11-29,2024-12-02,2024-12-31,22,21,0.18478258828590574
22,3,ridge_h22_m3_roll22_alpha_0.0001,1,2023-12-27,2023-12-28,2024-01-26,22,21,0.10725351792027764
22,3,ridge_h22_m3_roll22_alpha_0.0001,2,2024-01-26,2024-01-29,2024-02-27,22,18,0.1183696540435194
22,3,ridge_h22_m3_roll22_alpha_0.0001,3,2024-02-27,2024-02-28,2024-03-28,22,22,0.07308807769957062
22,3,ridge_h22_m3_roll22_alpha_0.0001,4,2024-03-28,2024-03-29,2024-04-29,22,22,0.20317012835052004
22,3,ridge_h22_m3_roll22_alpha_0.0001,5,2024-04-29,2024-04-30,2024-05-29,22,22,0.21544099571732903
22,3,ridge_h22_m3_roll22_alpha_0.0001,6,2024-05-29,2024-05-30,2024-06-28,22,22,0.07766801622871057
22,3,ridge_h22_m3_roll22_alpha_0.0001,7,2024-06-28,2024-07-01,2024-07-30,22,22,0.11728828305934498
22,3,ridge_h22_m3_roll22_alpha_0.0001,8,2024-07-30,2024-07-31,2024-08-29,22,22,0.20491431421472908
22,3,ridge_h22_m3_roll22_alpha_0.0001,9,2024-08-29,2024-08-30,2024-09-30,22,22,0.1622132715615354
22,3,ridge_h22_m3_roll22_alpha_0.0001,10,2024-09-30,2024-10-01,2024-10-30,22,22,0.10088931121898614
22,3,ridge_h22_m3_roll22_alpha_0.0001,11,2024-10-30,2024-10-31,2024-11-29,22,22,0.08418444657505633
22,3,ridge_h22_m3_roll22_alpha_0.0001,12,2024-11-29,2024-12-02,2024-12-31,22,21,0.29082276436367477
22,3,ridge_h22_m3_roll22_alpha_0.01,1,2023-12-27,2023-12-28,2024-01-26,22,21,0.10730251236828563
22,3,ridge_h22_m3_roll22_alpha_0.01,2,2024-01-26,2024-01-29,2024-02-27,22,18,0.1183274038179975
22,3,ridge_h22_m3_roll22_alpha_0.01,3,2024-02-27,2024-02-28,2024-03-28,22,22,0.07280466962952725
22,3,ridge_h22_m3_roll22_alpha_0.01,4,2024-03-28,2024-03-29,2024-04-29,22,22,0.20281709826427585
22,3,ridge_h22_m3_roll22_alpha_0.01,5,2024-04-29,2024-04-30,2024-05-29,22,22,0.2136610997259509
22,3,ridge_h22_m3_roll22_alpha_0.01,6,2024-05-29,2024-05-30,2024-06-28,22,22,0.07823460063101104
22,3,ridge_h22_m3_roll22_alpha_0.01,7,2024-06-28,2024-07-01,2024-07-30,22,22,0.1181777016535422
22,3,ridge_h22_m3_roll22_alpha_0.01,8,2024-07-30,2024-07-31,2024-08-29,22,22,0.2050220748919515
22,3,ridge_h22_m3_roll22_alpha_0.01,9,2024-08-29,2024-08-30,2024-09-30,22,22,0.16474658502478454
22,3,ridge_h22_m3_roll22_alpha_0.01,10,2024-09-30,2024-10-01,2024-10-30,22,22,0.10236997757219206
22,3,ridge_h22_m3_roll22_alpha_0.01,11,2024-10-30,2024-10-31,2024-11-29,22,22,0.08364270768913301
22,3,ridge_h22_m3_roll22_alpha_0.01,12,2024-11-29,2024-12-02,2024-12-31,22,21,0.28909971796537115
22,4,ridge_h22_m4_roll22_alpha_0.0001,1,2023-12-27,2023-12-28,2024-01-26,22,21,0.16988802703324177
22,4,ridge_h22_m4_roll22_alpha_0.0001,2,2024-01-26,2024-01-29,2024-02-27,22,18,0.08570990147959973
22,4,ridge_h22_m4_roll22_alpha_0.0001,3,2024-02-27,2024-02-28,2024-03-28,22,22,0.08697304500731472
22,4,ridge_h22_m4_roll22_alpha_0.0001,4,2024-03-28,2024-03-29,2024-04-29,22,22,0.1845872594801767
22,4,ridge_h22_m4_roll22_alpha_0.0001,5,2024-04-29,2024-04-30,2024-05-29,22,22,0.2080814822886101
22,4,ridge_h22_m4_roll22_alpha_0.0001,6,2024-05-29,2024-05-30,2024-06-28,22,22,0.09589563475196455
