horizon,material,model,fold,train_end,test_start,test_end,n_test,n_observed,smape
22,1,ridge_h22_m1_roll22_alpha_0.0001_dow,1,2023-12-27,2023-12-28,2024-01-26,22,21,0.19808227112645804
22,1,ridge_h22_m1_roll22_alpha_0.0001_dow,2,2024-01-26,2024-01-29,2024-02-27,22,18,0.06294190176720296
22,1,ridge_h22_m1_roll22_alpha_0.0001_dow,3,2024-02-27,2024-02-28,2024-03-28,22,22,0.09586735538126168
22,1,ridge_h22_m1_roll22_alpha_0.0001_dow,4,2024-03-28,2024-03-29,2024-04-29,22,22,0.1302757286962027
22,1,ridge_h22_m1_roll22_alpha_0.0001_dow,5,2024-04-29,2024-04-30,2024-05-29,22,22,0.13356195365066223
22,1,ridge_h22_m1_roll22_alpha_0.0001_dow,6,2024-05-29,2024-05-30,2024-06-28,22,22,0.09548119290969533
22,1,ridge_h22_m1_roll22_alpha_0.0001_dow,7,2024-06-28,2024-07-01,2024-07-30,22,22,0.08153129185215402
22,1,ridge_h22_m1_roll22_alpha_0.0001_dow,8,2024-07-30,2024-07-31,2024-08-29,22,22,0.09262315354549176
22,1,ridge_h22_m1_roll22_alpha_0.0001_dow,9,2024-08-29,2024-08-30,2024-09-30,22,22,0.15513564983066686
22,1,ridge_h22_m1_roll22_alpha_0.0001_dow,10,2024-09-30,2024-10-01,2024-10-30,22,22,0.1340805817728686
22,1,ridge_h22_m1_roll22_alpha_0.0001_dow,11,2024-10-30,2024-10-31,2024-11-29,22,22,0.1594366302060087
22,1,ridge_h22_m1_roll22_alpha_0.0001_dow,12,2024-11-29,2024-12-02,2024-12-31,22,21,0.06352782873170476
22,1,ridge_h22_m1_roll22_alpha_0.0001_holiday,1,2023-12-27,2023-12-28,2024-01-26,22,21,0.19587400381653727
22,1,ridge_h22_m1_roll22_alpha_0.0001_holiday,2,2024-01-26,2024-01-29,2024-02-27,22,18,0.06444918381804014
22,1,ridge_h22_m1_roll22_alpha_0.0001_holiday,3,2024-02-27,2024-02-28,2024-03-28,22,22,0.09388951546566959
22,1,ridge_h22_m1_roll22_alpha_0.0001_holiday,4,2024-03-28,2024-03-29,2024-04-29,22,22,0.13130474361157735
22,1,ridge_h22_m1_roll22_alpha_0.0001_holiday,5,2024-04-29,2024-04-30,2024-05-29,22,22,0.13037071120526245
22,1,ridge_h22_m1_roll22_alpha_0.0001_holiday,6,2024-05-29,2024-05-30,2024-06-28,22,22,0.09600293015306822
22,1,ridge_h22_m1_roll22_alpha_0.0001_holiday,7,2024-06-28,2024-07-01,2024-07-30,22,22,0.07850881964004686
22,1,ridge_h22_m1_roll22_alpha_0.0001_holiday,8,2024-07-30,2024-07-31,2024-08-29,22,22,0.08867304430801537
22,1,ridge_h22_m1_roll22_alpha_0.0001_holiday,9,2024-08-29,2024-08-30,2024-09-30,22,22,0.15671966526185882
22,1,ridge_h22_m1_roll22_alpha_0.0001_holiday,10,2024-09-30,2024-10-01,2024-10-30,22,22,0.13281407981103244
22,1,ridge_h22_m1_roll22_alpha_0.0001_holiday,11,2024-10-30,2024-10-31,2024-11-29,22,22,0.15894952104549956
22,1,ridge_h22_m1_roll22_alpha_0.0001_holiday,12,2024-11-29,2024-12-02,2024-12-31,22,21,0.062054704428908564
22,1,ridge_h22_m1_roll22_alpha_0.0001_schoolholiday,1,2023-12-27,2023-12-28,2024-01-26,22,21,0.18924832411138026
22,1,ridge_h22_m1_roll22_alpha_0.0001_schoolholiday,2,2024-01-26,2024-01-29,2024-02-27,22,18,0.06700416905437866
22,1,ridge_h22_m1_roll22_alpha_0.0001_schoolholiday,3,2024-02-27,2024-02-28,2024-03-28,22,22,0.09077804928021013
22,1,ridge_h22_m1_roll22_alpha_0.0001_schoolholiday,4,2024-03-28,2024-03-29,2024-04-29,22,22,0.1274373580048641
22,1,ridge_h22_m1_roll22_alpha_0.0001_schoolholiday,5,2024-04-29,2024-04-30,2024-05-29,22,22,0.138172273869452
22,1,ridge_h22_m1_roll22_alpha_0.0001_schoolholiday,6,2024-05-29,2024-05-30,2024-06-28,22,22,0.0944291212675237
22,1,ridge_h22_m1_roll22_alpha_0.0001_schoolholiday,7,2024-06-28,2024-07-01,2024-07-30,22,22,0.0855202324265905
22,1,ridge_h22_m1_roll22_alpha_0.0001_schoolholiday,8,2024-07-30,2024-07-31,2024-08-29,22,22,0.08022471906638177
22,1,ridge_h22_m1_roll22_alpha_0.0001_schoolholiday,9,2024-08-29,2024-08-30,2024-09-30,22,22,0.16656710166032054
22,1,ridge_h22_m1_roll22_alpha_0.0001_schoolholiday,10,2024-09-30,2024-10-01,2024-10-30,22,22,0.12250030330061254
22,1,ridge_h22_m1_roll22_alpha_0.0001_schoolholiday,11,2024-10-30,2024-10-31,2024-11-29,22,22,0.16655958597442885
22,1,ridge_h22_m1_roll22_alpha_0.0001_schoolholiday,12,2024-11-29,2024-12-02,2024-12-31,22,21,0.06228556146829356
22,2,ridge_h22_m2_roll22_alpha_0.0001_dow,1,2023-12-27,2023-12-28,2024-01-26,22,21,0.291121572030827
22,2,ridge_h22_m2_roll22_alpha_0.0001_dow,2,2024-01-26,2024-01-29,2024-02-27,22,18,0.1502858149441295
22,2,ridge_h22_m2_roll22_alpha_0.0001_dow,3,2024-02-27,2024-02-28,2024-03-28,22,22,0.08087144589249197
22,2,ridge_h22_m2_roll22_alpha_0.0001_dow,4,2024-03-28,2024-03-29,2024-04-29,22,22,0.18822805568050177
