horizon,material,model,fold,train_end,test_start,test_end,n_test,n_observed,smape
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_lag22,1,2023-12-27,2023-12-28,2024-01-26,22,21,0.19957470030366
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_lag22,2,2024-01-26,2024-01-29,2024-02-27,22,18,0.06413376323477019
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_lag22,3,2024-02-27,2024-02-28,2024-03-28,22,22,0.10025224832376992
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_lag22,4,2024-03-28,2024-03-29,2024-04-29,22,22,0.131277509291336
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_lag22,5,2024-04-29,2024-04-30,2024-05-29,22,22,0.13073374456946713
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_lag22,6,2024-05-29,2024-05-30,2024-06-28,22,22,0.09433822024920561
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_lag22,7,2024-06-28,2024-07-01,2024-07-30,22,22,0.07738847000749063
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_lag22,8,2024-07-30,2024-07-31,2024-08-29,22,22,0.08937748829142012
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_lag22,9,2024-08-29,2024-08-30,2024-09-30,22,22,0.15897654575568457
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_lag22,10,2024-09-30,2024-10-01,2024-10-30,22,22,0.12761037178032997
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_lag22,11,2024-10-30,2024-10-31,2024-11-29,22,22,0.1524488624474176
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_lag22,12,2024-11-29,2024-12-02,2024-12-31,22,21,0.059343733428092654
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_mean5_lag22,1,2023-12-27,2023-12-28,2024-01-26,22,21,0.198589321167763
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_mean5_lag22,2,2024-01-26,2024-01-29,2024-02-27,22,18,0.0663834413108936
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_mean5_lag22,3,2024-02-27,2024-02-28,2024-03-28,22,22,0.0966638751867077
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_mean5_lag22,4,2024-03-28,2024-03-29,2024-04-29,22,22,0.1309945781701816
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_mean5_lag22,5,2024-04-29,2024-04-30,2024-05-29,22,22,0.13320314923119742
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_mean5_lag22,6,2024-05-29,2024-05-30,2024-06-28,22,22,0.095681247651297
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_mean5_lag22,7,2024-06-28,2024-07-01,2024-07-30,22,22,0.07824424231442528
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_mean5_lag22,8,2024-07-30,2024-07-31,2024-08-29,22,22,0.08928665370311009
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_mean5_lag22,9,2024-08-29,2024-08-30,2024-09-30,22,22,0.1585855841639294
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_mean5_lag22,10,2024-09-30,2024-10-01,2024-10-30,22,22,0.13386824017387725
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_mean5_lag22,11,2024-10-30,2024-10-31,2024-11-29,22,22,0.15388778106826925
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_mean5_lag22,12,2024-11-29,2024-12-02,2024-12-31,22,21,0.060881115624129206
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_mean22_lag22,1,2023-12-27,2023-12-28,2024-01-26,22,21,0.19633451368471952
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_mean22_lag22,2,2024-01-26,2024-01-29,2024-02-27,22,18,0.061512503528812976
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_mean22_lag22,3,2024-02-27,2024-02-28,2024-03-28,22,22,0.0762094951345463
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_mean22_lag22,4,2024-03-28,2024-03-29,2024-04-29,22,22,0.13795023838383888
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_mean22_lag22,5,2024-04-29,2024-04-30,2024-05-29,22,22,0.1564202086866856
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_mean22_lag22,6,2024-05-29,2024-05-30,2024-06-28,22,22,0.0910135085110327
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_mean22_lag22,7,2024-06-28,2024-07-01,2024-07-30,22,22,0.07698649297784046
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_mean22_lag22,8,2024-07-30,2024-07-31,2024-08-29,22,22,0.09441805442953113
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_mean22_lag22,9,2024-08-29,2024-08-30,2024-09-30,22,22,0.162839537962077
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_mean22_lag22,10,2024-09-30,2024-10-01,2024-10-30,22,22,0.1527695231837102
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_mean22_lag22,11,2024-10-30,2024-10-31,2024-11-29,22,22,0.18708760035276153
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_mean22_lag22,12,2024-11-29,2024-12-02,2024-12-31,22,21,0.0693620583629099
22,2,ridge_h22_m2_roll22_alpha_0.0001_input_lag22,1,2023-12-27,2023-12-28,2024-01-26,22,21,0.2959478114197042
22,2,ridge_h22_m2_roll22_alpha_0.0001_input_lag22,2,2024-01-26,2024-01-29,2024-02-27,22,18,0.1479061386718793
22,2,ridge_h22_m2_roll22_alpha_0.0001_input_lag22,3,2024-02-27,2024-02-28,2024-03-28,22,22,0.07896510851227229
22,2,ridge_h22_m2_roll22_alpha_0.0001_input_lag22,4,2024-03-28,2024-03-29,2024-04-29,22,22,0.19170544454396585
22,2,ridge_h22_m2_roll22_alpha_0.0001_input_lag22,5,2024-04-29,2024-04-30,2024-05-29,22,22,0.16798793795018507
22,2,ridge_h22_m2_roll22_alpha_0.0001_input_lag22,6,2024-05-29,2024-05-30,2024-06-28,22,22,0.1533820276822423
22,2,ridge_h22_m2_roll22_alpha_0.0001_input_lag22,7,2024-06-28,2024-07-01,2024-07-30,22,22,0.10213428142078568
22,2,ridge_h22_m2_roll22_alpha_0.0001_input_lag22,8,2024-07-30,2024-07-31,2024-08-29,22,22,0.0806404229320882
22,2,ridge_h22_m2_roll22_alpha_0.0001_input_lag22,9,2024-08-29,2024-08-30,2024-09-30,22,22,0.06868182990322788
22,2,ridge_h22_m2_roll22_alpha_0.0001_input_lag22,10,2024-09-30,2024-10-01,2024-10-30,22,22,0.13197975206342838
22,2,ridge_h22_m2_roll22_alpha_0.0001_input_lag22,11,2024-10-30,2024-10-31,2024-11-29,22,22,0.12386822648268232
22,2,ridge_h22_m2_roll22_alpha_0.0001_input_lag22,12,2024-11-29,2024-12-02,2024-12-31,22,21,0.19052504519556923
22,2,ridge_h22_m2_roll22_alpha_0.0001_input_mean5_lag22,1,2023-12-27,2023-12-28,2024-01-26,22,21,0.295184725929559
22,2,ridge_h22_m2_roll22_alpha_0.0001_input_mean5_lag22,2,2024-01-26,2024-01-29,2024-02-27,22,18,0.15004353050740116
22,2,ridge_h22_m2_roll22_alpha_0.0001_input_mean5_lag22,3,2024-02-27,2024-02-28,2024-03-28,22,22,0.08404099837466195
22,2,ridge_h22_m2_roll22_alpha_0.0001_input_mean5_lag22,4,2024-03-28,2024-03-29,2024-04-29,22,22,0.18861605798087613
22,2,ridge_h22_m2_roll22_alpha_0.0001_input_mean5_lag22,5,2024-04-29,2024-04-30,2024-05-29,22,22,0.17138000120896085
22,2,ridge_h22_m2_roll22_alpha_0.0001_input_mean5_lag22,6,2024-05-29,2024-05-30,2024-06-28,22,22,0.15202871702126583
22,2,ridge_h22_m2_roll22_alpha_0.0001_input_mean5_lag22,7,2024-06-28,2024-07-01,2024-07-30,22,22,0.10094548501631613
22,2,ridge_h22_m2_roll22_alpha_0.0001_input_mean5_lag22,8,2024-07-30,2024-07-31,2024-08-29,22,22,0.08021521775033534
22,2,ridge_h22_m2_roll22_alpha_0.0001_input_mean5_lag22,9,2024-08-29,2024-08-30,2024-09-30,22,22,0.06869780271794282
22,2,ridge_h22_m2_roll22_alpha_0.0001_input_mean5_lag22,10,2024-09-30,2024-10-01,2024-10-30,22,22,0.12995810145537706
22,2,ridge_h22_m2_roll22_alpha_0.0001_input_mean5_lag22,11,2024-10-30,2024-10-31,2024-11-29,22,22,0.12316953397633074
22,2,ridge_h22_m2_roll22_alpha_0.0001_input_mean5_lag22,12,2024-11-29,2024-12-02,2024-12-31,22,21,0.20296231962830377
22,2,ridge_h22_m2_roll22_alpha_0.0001_input_mean22_lag22,1,2023-12-27,2023-12-28,2024-01-26,22,21,0.29068468018502824
22,2,ridge_h22_m2_roll22_alpha_0.0001_input_mean22_lag22,2,2024-01-26,2024-01-29,2024-02-27,22,18,0.15932268788519524
