horizon,material,model,mean_smape,std_smape,sum_smape,n_expected_folds,n_evaluated_folds
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_lag22,0.11545463814022035,0.040372043367421125,1.3854556576826442,12,12
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_mean5_lag22,0.1163557691471484,0.04013963607213984,1.3962692297657808,12,12
22,1,ridge_h22_m1_roll22_alpha_0.0001_input_mean22_lag22,0.1219086445998722,0.04662716522123209,1.4629037351984664,12,12
22,2,ridge_h22_m2_roll22_alpha_0.0001_input_lag22,0.14447700223150253,0.060843933374981174,1.7337240267780305,12,12
22,2,ridge_h22_m2_roll22_alpha_0.0001_input_mean5_lag22,0.1456035409639442,0.06121174842902429,1.7472424915673306,12,12
22,2,ridge_h22_m2_roll22_alpha_0.0001_input_mean22_lag22,0.14705891871321464,0.059266122258673504,1.7647070245585756,12,12
22,3,ridge_h22_m3_roll22_alpha_0.0001_schoolholiday_input_lag22,0.14636427300920235,0.06673996247949775,1.7563712761104282,12,12
22,3,ridge_h22_m3_roll22_alpha_0.0001_schoolholiday_input_mean5_lag22,0.1460151983425074,0.06283823542059852,1.7521823801100886,12,12
22,3,ridge_h22_m3_roll22_alpha_0.0001_schoolholiday_input_mean22_lag22,0.1521628016799349,0.07806684056233941,1.8259536201592188,12,12
22,4,ridge_h22_m4_roll22_alpha_0.0001_schoolholiday_input_lag22,0.14806100006829997,0.043272663926630636,1.7767320008195997,12,12
22,4,ridge_h22_m4_roll22_alpha_0.0001_schoolholiday_input_mean5_lag22,0.14770652241386242,0.04443436791828085,1.772478268966349,12,12
22,4,ridge_h22_m4_roll22_alpha_0.0001_schoolholiday_input_mean22_lag22,0.14923222812622391,0.04618573101778542,1.7907867375146869,12,12
22,5,ridge_h22_m5_roll22_alpha_0.001_dow_input_lag22,0.10194913440800295,0.043891025993920044,1.2233896128960353,12,12
22,5,ridge_h22_m5_roll22_alpha_0.001_dow_input_mean5_lag22,0.10224326623146922,0.04454340723994772,1.2269191947776306,12,12
22,5,ridge_h22_m5_roll22_alpha_0.001_dow_input_mean22_lag22,0.1043337346612393,0.043869444303792936,1.2520048159348716,12,12
22,6,ridge_h22_m6_roll22_alpha_0.0001_schoolholiday_input_lag22,0.13906933537042887,0.04094013404200357,1.6688320244451464,12,12
22,6,ridge_h22_m6_roll22_alpha_0.0001_schoolholiday_input_mean5_lag22,0.13676421397052446,0.040245549866446656,1.6411705676462935,12,12
22,6,ridge_h22_m6_roll22_alpha_0.0001_schoolholiday_input_mean22_lag22,0.12735531687715648,0.034512707669742,1.5282638025258777,12,12
22,7,ridge_h22_m7_roll22_alpha_0.0001_holiday_input_lag22,0.23787829514551453,0.0609650172660167,2.8545395417461745,12,12
22,7,ridge_h22_m7_roll22_alpha_0.0001_holiday_input_mean5_lag22,0.2392327557952775,0.05885623945445539,2.87079306954333,12,12
22,7,ridge_h22_m7_roll22_alpha_0.0001_holiday_input_mean22_lag22,0.24003020714750076,0.06387780160888888,2.880362485770009,12,12
22,8,ridge_h22_m8_roll22_alpha_0.0001_schoolholiday_input_lag22,0.2009533733167144,0.11892979141035251,2.411440479800573,12,12
22,8,ridge_h22_m8_roll22_alpha_0.0001_schoolholiday_input_mean5_lag22,0.20187940552653424,0.12181531680319148,2.422552866318411,12,12
22,8,ridge_h22_m8_roll22_alpha_0.0001_schoolholiday_input_mean22_lag22,0.20498057520333343,0.12529834219124003,2.459766902440001,12,12
22,9,ridge_h22_m9_roll10_alpha_0.0001_schoolholiday_input_lag22,0.1845473080995538,0.0986172254120941,2.2145676971946457,12,12
22,9,ridge_h22_m9_roll10_alpha_0.0001_schoolholiday_input_mean5_lag22,0.1854109005115718,0.09538340575073855,2.2249308061388615,12,12
22,9,ridge_h22_m9_roll10_alpha_0.0001_schoolholiday_input_mean22_lag22,0.1879953305101627,0.08982328074186777,2.2559439661219525,12,12
22,10,ridge_h22_m10_roll10_alpha_0.01_dow_input_lag22,0.11424979510084284,0.03598063511803568,1.370997541210114,12,12
22,10,ridge_h22_m10_roll10_alpha_0.01_dow_input_mean5_lag22,0.11474242623279296,0.03608354346321045,1.3769091147935155,12,12
22,10,ridge_h22_m10_roll10_alpha_0.01_dow_input_mean22_lag22,0.11533841053414239,0.03464025712135616,1.3840609264097086,12,12
22,11,ridge_h22_m11_roll22_alpha_0.01_input_lag22,0.4826992112278343,0.43298023302963473,5.792390534734012,12,12
22,11,ridge_h22_m11_roll22_alpha_0.01_input_mean5_lag22,0.4816303727322355,0.4246622311988398,5.779564472786826,12,12
22,11,ridge_h22_m11_roll22_alpha_0.01_input_mean22_lag22,0.4857665342095656,0.43871630123184174,5.829198410514787,12,12
22,12,ridge_h22_m12_roll22_alpha_0.01_input_lag22,1.218394096508889,0.337177876757468,14.620729158106668,12,12
22,12,ridge_h22_m12_roll22_alpha_0.01_input_mean5_lag22,1.2174827911234554,0.3411371754529073,14.609793493481463,12,12
22,12,ridge_h22_m12_roll22_alpha_0.01_input_mean22_lag22,1.2353498873126885,0.3253108206704003,14.824198647752262,12,12
22,13,ridge_h22_m13_no_roll_alpha_0.01_input_lag22,1.7987757436586824,0.18541197574279783,21.58530892390419,12,12
22,13,ridge_h22_m13_no_roll_alpha_0.01_input_mean5_lag22,1.7997507591069561,0.18307649900531567,21.597009109283473,12,12
22,13,ridge_h22_m13_no_roll_alpha_0.01_input_mean22_lag22,1.7954353988300495,0.18442977759018514,21.545224785960595,12,12
