horizon,material,model,fold,train_end,test_start,test_end,n_test,n_observed,smape
22,1,naive,1,2023-12-27,2023-12-28,2024-01-26,22,21,0.11098208227879106
22,1,naive,2,2024-01-26,2024-01-29,2024-02-27,22,18,0.053121656414375835
22,1,naive,3,2024-02-27,2024-02-28,2024-03-28,22,22,0.23799502972218511
22,1,naive,4,2024-03-28,2024-03-29,2024-04-29,22,22,0.1655637542117466
22,1,naive,5,2024-04-29,2024-04-30,2024-05-29,22,22,0.159806270758373
22,1,naive,6,2024-05-29,2024-05-30,2024-06-28,22,22,0.14729141299673337
22,1,naive,7,2024-06-28,2024-07-01,2024-07-30,22,22,0.08615746885663059
22,1,naive,8,2024-07-30,2024-07-31,2024-08-29,22,22,0.07049107719394972
22,1,naive,9,2024-08-29,2024-08-30,2024-09-30,22,22,0.09921652174923697
22,1,naive,10,2024-09-30,2024-10-01,2024-10-30,22,22,0.06121382742397347
22,1,naive,11,2024-10-30,2024-10-31,2024-11-29,22,22,0.07270826190620375
22,1,naive,12,2024-11-29,2024-12-02,2024-12-31,22,21,0.08306408119366782
22,2,naive,1,2023-12-27,2023-12-28,2024-01-26,22,21,2.0
22,2,naive,2,2024-01-26,2024-01-29,2024-02-27,22,18,0.08358298379389896
22,2,naive,3,2024-02-27,2024-02-28,2024-03-28,22,22,0.12688471843078925
22,2,naive,4,2024-03-28,2024-03-29,2024-04-29,22,22,0.28461433762518856
22,2,naive,5,2024-04-29,2024-04-30,2024-05-29,22,22,0.7659605662415058
22,2,naive,6,2024-05-29,2024-05-30,2024-06-28,22,22,0.31438219863581063
22,2,naive,7,2024-06-28,2024-07-01,2024-07-30,22,22,0.26138173530684194
22,2,naive,8,2024-07-30,2024-07-31,2024-08-29,22,22,0.08690047564047325
22,2,naive,9,2024-08-29,2024-08-30,2024-09-30,22,22,0.07481848363766426
22,2,naive,10,2024-09-30,2024-10-01,2024-10-30,22,22,0.1447692340070486
22,2,naive,11,2024-10-30,2024-10-31,2024-11-29,22,22,0.13678128367458778
22,2,naive,12,2024-11-29,2024-12-02,2024-12-31,22,21,0.10922443613797679
22,3,naive,1,2023-12-27,2023-12-28,2024-01-26,22,21,0.10943682643951616
22,3,naive,2,2024-01-26,2024-01-29,2024-02-27,22,18,0.2095975250539312
22,3,naive,3,2024-02-27,2024-02-28,2024-03-28,22,22,0.08020930768450672
22,3,naive,4,2024-03-28,2024-03-29,2024-04-29,22,22,0.16040399438767752
22,3,naive,5,2024-04-29,2024-04-30,2024-05-29,22,22,0.44652961242961137
22,3,naive,6,2024-05-29,2024-05-30,2024-06-28,22,22,0.12336950616736643
22,3,naive,7,2024-06-28,2024-07-01,2024-07-30,22,22,0.20893130664487414
22,3,naive,8,2024-07-30,2024-07-31,2024-08-29,22,22,0.27477846026872277
22,3,naive,9,2024-08-29,2024-08-30,2024-09-30,22,22,0.4101649773060073
22,3,naive,10,2024-09-30,2024-10-01,2024-10-30,22,22,0.12183024948462688
22,3,naive,11,2024-10-30,2024-10-31,2024-11-29,22,22,0.1211429642817861
22,3,naive,12,2024-11-29,2024-12-02,2024-12-31,22,21,0.23099609339878252
22,4,naive,1,2023-12-27,2023-12-28,2024-01-26,22,21,2.0
22,4,naive,2,2024-01-26,2024-01-29,2024-02-27,22,18,0.12093496444449603
22,4,naive,3,2024-02-27,2024-02-28,2024-03-28,22,22,0.15238331614228534
22,4,naive,4,2024-03-28,2024-03-29,2024-04-29,22,22,0.16154639011325225
22,4,naive,5,2024-04-29,2024-04-30,2024-05-29,22,22,0.30386497686773817
22,4,naive,6,2024-05-29,2024-05-30,2024-06-28,22,22,0.2372850137478562
22,4,naive,7,2024-06-28,2024-07-01,2024-07-30,22,22,0.11505650934136201
22,4,naive,8,2024-07-30,2024-07-31,2024-08-29,22,22,0.21728428425831595
22,4,naive,9,2024-08-29,2024-08-30,2024-09-30,22,22,0.1334141789313034
22,4,naive,10,2024-09-30,2024-10-01,2024-10-30,22,22,0.17966867169514533
22,4,naive,11,2024-10-30,2024-10-31,2024-11-29,22,22,0.21783212311375336
22,4,naive,12,2024-11-29,2024-12-02,2024-12-31,22,21,0.2223588180219715
22,5,naive,1,2023-12-27,2023-12-28,2024-01-26,22,21,0.07944170322642422
22,5,naive,2,2024-01-26,2024-01-29,2024-02-27,22,18,0.14507652108511396
22,5,naive,3,2024-02-27,2024-02-28,2024-03-28,22,22,0.06557898245970253
22,5,naive,4,2024-03-28,2024-03-29,2024-04-29,22,22,0.20498358571819583
22,5,naive,5,2024-04-29,2024-04-30,2024-05-29,22,22,0.45419765703596704
22,5,naive,6,2024-05-29,2024-05-30,2024-06-28,22,22,0.06818858278581001
22,5,naive,7,2024-06-28,2024-07-01,2024-07-30,22,22,0.10874582975117568
22,5,naive,8,2024-07-30,2024-07-31,2024-08-29,22,22,0.1765585659386087
22,5,naive,9,2024-08-29,2024-08-30,2024-09-30,22,22,0.05858213351853611
22,5,naive,10,2024-09-30,2024-10-01,2024-10-30,22,22,0.1402391457590987
22,5,naive,11,2024-10-30,2024-10-31,2024-11-29,22,22,0.08227299927995552
22,5,naive,12,2024-11-29,2024-12-02,2024-12-31,22,21,0.06352881974495651
22,6,naive,1,2023-12-27,2023-12-28,2024-01-26,22,21,0.1115209710429851
22,6,naive,2,2024-01-26,2024-01-29,2024-02-27,22,18,0.11619471658922098
22,6,naive,3,2024-02-27,2024-02-28,2024-03-28,22,22,0.22860605251577826
22,6,naive,4,2024-03-28,2024-03-29,2024-04-29,22,22,0.15727575475762792
22,6,naive,5,2024-04-29,2024-04-30,2024-05-29,22,22,0.30869370337269414
22,6,naive,6,2024-05-29,2024-05-30,2024-06-28,22,22,0.09956922778911101
22,6,naive,7,2024-06-28,2024-07-01,2024-07-30,22,22,0.19547396575183143
22,6,naive,8,2024-07-30,2024-07-31,2024-08-29,22,22,0.13643012179612754
22,6,naive,9,2024-08-29,2024-08-30,2024-09-30,22,22,0.1631505755592711
22,6,naive,10,2024-09-30,2024-10-01,2024-10-30,22,22,0.07988175700586778
22,6,naive,11,2024-10-30,2024-10-31,2024-11-29,22,22,0.07789755584306583
22,6,naive,12,2024-11-29,2024-12-02,2024-12-31,22,21,0.1377104997534712
22,7,naive,1,2023-12-27,2023-12-28,2024-01-26,22,21,2.0
22,7,naive,2,2024-01-26,2024-01-29,2024-02-27,22,18,0.2064815692550349
22,7,naive,3,2024-02-27,2024-02-28,2024-03-28,22,22,0.25978027326177994
22,7,naive,4,2024-03-28,2024-03-29,2024-04-29,22,22,0.2716459723379675
22,7,naive,5,2024-04-29,2024-04-30,2024-05-29,22,22,0.8855130884513737
22,7,naive,6,2024-05-29,2024-05-30,2024-06-28,22,22,0.2595619432320042
22,7,naive,7,2024-06-28,2024-07-01,2024-07-30,22,22,0.21392568381113009
22,7,naive,8,2024-07-30,2024-07-31,2024-08-29,22,22,0.4201721084732428
22,7,naive,9,2024-08-29,2024-08-30,2024-09-30,22,22,0.24504660304949177
22,7,naive,10,2024-09-30,2024-10-01,2024-10-30,22,22,0.18189821115711774
22,7,naive,11,2024-10-30,2024-10-31,2024-11-29,22,22,0.25866271272132035
22,7,naive,12,2024-11-29,2024-12-02,2024-12-31,22,21,0.26943305376689825
22,8,naive,1,2023-12-27,2023-12-28,2024-01-26,22,21,0.6593367404173225
22,8,naive,2,2024-01-26,2024-01-29,2024-02-27,22,18,0.5472369223914402
22,8,naive,3,2024-02-27,2024-02-28,2024-03-28,22,22,0.12754267450219017
22,8,naive,4,2024-03-28,2024-03-29,2024-04-29,22,22,0.3551407751139922
22,8,naive,5,2024-04-29,2024-04-30,2024-05-29,22,22,0.4734266065868358
22,8,naive,6,2024-05-29,2024-05-30,2024-06-28,22,22,0.13651697937436938
22,8,naive,7,2024-06-28,2024-07-01,2024-07-30,22,22,0.12282975316974624
22,8,naive,8,2024-07-30,2024-07-31,2024-08-29,22,22,0.1845527749024765
22,8,naive,9,2024-08-29,2024-08-30,2024-09-30,22,22,0.11374422595105096
22,8,naive,10,2024-09-30,2024-10-01,2024-10-30,22,22,0.10163554852701812
22,8,naive,11,2024-10-30,2024-10-31,2024-11-29,22,22,0.158947390786931
22,8,naive,12,2024-11-29,2024-12-02,2024-12-31,22,21,0.097938211596486
22,9,naive,1,2023-12-27,2023-12-28,2024-01-26,22,21,2.0
22,9,naive,2,2024-01-26,2024-01-29,2024-02-27,22,18,0.30123942453453767
22,9,naive,3,2024-02-27,2024-02-28,2024-03-28,22,22,0.0601377616237609
22,9,naive,4,2024-03-28,2024-03-29,2024-04-29,22,22,0.3985044219791078
22,9,naive,5,2024-04-29,2024-04-30,2024-05-29,22,22,0.3072455532948352
22,9,naive,6,2024-05-29,2024-05-30,2024-06-28,22,22,0.14529137693846755
22,9,naive,7,2024-06-28,2024-07-01,2024-07-30,22,22,0.20946449310986473
22,9,naive,8,2024-07-30,2024-07-31,2024-08-29,22,22,0.20621418140178843
22,9,naive,9,2024-08-29,2024-08-30,2024-09-30,22,22,0.0925436381318831
22,9,naive,10,2024-09-30,2024-10-01,2024-10-30,22,22,0.11038889663567009
22,9,naive,11,2024-10-30,2024-10-31,2024-11-29,22,22,0.10667222271542041
22,9,naive,12,2024-11-29,2024-12-02,2024-12-31,22,21,0.11076504404233942
22,10,naive,1,2023-12-27,2023-12-28,2024-01-26,22,21,0.26722696950937547
22,10,naive,2,2024-01-26,2024-01-29,2024-02-27,22,18,0.31918782454333505
22,10,naive,3,2024-02-27,2024-02-28,2024-03-28,22,22,0.11389530439108218
22,10,naive,4,2024-03-28,2024-03-29,2024-04-29,22,22,0.14888275939674164
22,10,naive,5,2024-04-29,2024-04-30,2024-05-29,22,22,0.33842818513759215
22,10,naive,6,2024-05-29,2024-05-30,2024-06-28,22,22,0.29746163507405987
22,10,naive,7,2024-06-28,2024-07-01,2024-07-30,22,22,0.12852026443239223
22,10,naive,8,2024-07-30,2024-07-31,2024-08-29,22,22,0.11542265645201095
22,10,naive,9,2024-08-29,2024-08-30,2024-09-30,22,22,0.06916041361782728
22,10,naive,10,2024-09-30,2024-10-01,2024-10-30,22,22,0.10472045431449835
