horizon,material,model,mean_smape,std_smape,sum_smape,n_expected_folds,n_evaluated_folds
22,1,naive,0.11230095372548894,0.05264342556794833,1.3476114447058674,12,12
22,2,naive,0.36577503776098214,0.52576876435378,4.389300453131786,12,12
22,3,naive,0.20811590196228413,0.1129899429007732,2.4973908235474096,12,12
22,4,naive,0.33846910388978996,0.5037583895373728,4.061629246677479,12,12
22,5,naive,0.13728287719196208,0.10620946795059226,1.647394526303545,12,12
22,6,naive,0.15103374181475437,0.0640707517964326,1.8124049017770525,12,12
22,7,naive,0.4560101016264467,0.4995847781833277,5.47212121951736,12,12
22,8,naive,0.25657071694332156,0.19076231052601159,3.0788486033198588,12,12
22,9,naive,0.33737225120063963,0.5110148443129817,4.0484670144076755,12,12
22,10,naive,0.17375181165298062,0.09638902632374215,2.0850217398357676,12,12
22,11,naive,0.5045525782265317,0.5110110322225475,6.05463093871838,12,12
22,12,naive,1.1413404597346937,0.46798234012815615,13.696085516816325,12,12
22,13,naive,0.4162864367794162,0.3917197301907775,4.995437241352994,12,12
22,1,moving_average,0.11074775817448483,0.030763127312707365,1.328973098093818,12,12
22,2,moving_average,0.15481721458274358,0.064003044622858,1.857806574992923,12,12
22,3,moving_average,0.15101868450993994,0.07088627433272177,1.8122242141192793,12,12
22,4,moving_average,0.14728927837530467,0.03674189277802983,1.7674713405036562,12,12
22,5,moving_average,0.11056011619658174,0.04345796112370417,1.3267213943589808,12,12
22,6,moving_average,0.13583953085269804,0.030064967128054076,1.6300743702323763,12,12
22,7,moving_average,0.25079727718706385,0.063085677507874,3.0095673262447664,12,12
22,8,moving_average,0.20456941618336025,0.10158318600200472,2.454832994200323,12,12
22,9,moving_average,0.20819586253379618,0.10425329392365397,2.498350350405554,12,12
22,10,moving_average,0.12330602673580626,0.03812014467815434,1.4796723208296751,12,12
22,11,moving_average,0.46714706178463744,0.4923565140176779,5.6057647414156495,12,12
22,12,moving_average,1.1432712460689498,0.3751555292969439,13.719254952827397,12,12
22,13,moving_average,1.4221987669513012,0.6680760931437782,17.066385203415614,12,12
22,1,arima_112,0.11212367365544544,0.02966624530159719,1.3454840838653452,12,12
22,2,arima_111,0.15138455843837456,0.07406408434559326,1.8166147012604947,12,12
22,3,arima_111,0.15036971182296696,0.07092187548483712,1.8044365418756037,12,12
22,4,arima_011,0.15612137528269088,0.04725376405000257,1.8734565033922905,12,12
22,5,arima_102,0.11005507642166203,0.04316576065535548,1.3206609170599444,12,12
22,6,arima_011,0.13264391141095774,0.028497270085157345,1.5917269369314928,12,12
22,7,arima_011,0.24688156110213597,0.0587541917069974,2.9625787332256315,12,12
22,8,arima_111,0.20499998014250184,0.11558195913437373,2.459999761710022,12,12
22,9,arima_011,0.1995897664498648,0.10454986485831352,2.3950771973983778,12,12
22,10,arima_012,0.1219848497445063,0.040154246521476214,1.4638181969340756,12,12
22,11,sarima_112_100_5,0.4419396006862182,0.46216194476336936,5.303275208234618,12,12
22,12,arima_201,1.2108263185232941,0.3072217653986998,14.52991582227953,12,12
22,13,sarima_113_002_5,1.8312958445882925,0.16049726138210219,21.97555013505951,12,12
22,1,ridge_h22_lags_1_5_10_22_alpha_0.001,0.135187389955848,0.05515097266549273,1.622248679470176,12,12
