horizon,material,model,fold,train_end,test_start,test_end,n_test,n_observed,smape
66,1,ridge_h66_m1_roll22_alpha_0.0001_dow,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.11732432362186435
66,1,ridge_h66_m1_roll22_alpha_0.0001_dow,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.12604048724874434
66,1,ridge_h66_m1_roll22_alpha_0.0001_dow,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.1215947592224713
66,1,ridge_h66_m1_roll22_alpha_0.0001_dow,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.22817106930234943
66,1,ridge_h66_m1_roll22_alpha_0.0001_holiday,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.11597641447543526
66,1,ridge_h66_m1_roll22_alpha_0.0001_holiday,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.12450387279837388
66,1,ridge_h66_m1_roll22_alpha_0.0001_holiday,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.1192024236197992
66,1,ridge_h66_m1_roll22_alpha_0.0001_holiday,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.23007077710554752
66,1,ridge_h66_m1_roll22_alpha_0.0001_schoolholiday,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.11604905782511031
66,1,ridge_h66_m1_roll22_alpha_0.0001_schoolholiday,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.1226544629487296
66,1,ridge_h66_m1_roll22_alpha_0.0001_schoolholiday,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.11633841945245912
66,1,ridge_h66_m1_roll22_alpha_0.0001_schoolholiday,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.22577323654567996
66,2,ridge_h66_m2_roll22_alpha_0.0001_dow,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.30741332770777546
66,2,ridge_h66_m2_roll22_alpha_0.0001_dow,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.15145628439325323
66,2,ridge_h66_m2_roll22_alpha_0.0001_dow,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.08236398525865996
66,2,ridge_h66_m2_roll22_alpha_0.0001_dow,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.1511424482609317
66,2,ridge_h66_m2_roll22_alpha_0.0001_holiday,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.3078405848027981
66,2,ridge_h66_m2_roll22_alpha_0.0001_holiday,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.1495453475136581
66,2,ridge_h66_m2_roll22_alpha_0.0001_holiday,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.08305012204451634
66,2,ridge_h66_m2_roll22_alpha_0.0001_holiday,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.15233231666921124
66,2,ridge_h66_m2_roll22_alpha_0.0001_schoolholiday,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.3016944545979773
66,2,ridge_h66_m2_roll22_alpha_0.0001_schoolholiday,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.14759151043394117
66,2,ridge_h66_m2_roll22_alpha_0.0001_schoolholiday,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.09525289598513156
66,2,ridge_h66_m2_roll22_alpha_0.0001_schoolholiday,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.15152309435110878
66,3,ridge_h66_m3_roll22_alpha_0.01_dow,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.10827772129616305
66,3,ridge_h66_m3_roll22_alpha_0.01_dow,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.17699197289292798
66,3,ridge_h66_m3_roll22_alpha_0.01_dow,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.1778335925840171
66,3,ridge_h66_m3_roll22_alpha_0.01_dow,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.15207472422658408
66,3,ridge_h66_m3_roll22_alpha_0.01_holiday,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.10553966864883488
66,3,ridge_h66_m3_roll22_alpha_0.01_holiday,2,2024-03-28,2024-03-29,2024-06-28,66,66,0.1777356590396306
66,3,ridge_h66_m3_roll22_alpha_0.01_holiday,3,2024-06-28,2024-07-01,2024-09-30,66,66,0.1812756543630848
66,3,ridge_h66_m3_roll22_alpha_0.01_holiday,4,2024-09-30,2024-10-01,2024-12-31,66,65,0.1594012853563951
66,3,ridge_h66_m3_roll22_alpha_0.01_schoolholiday,1,2023-12-27,2023-12-28,2024-03-28,66,61,0.10480844923220213
