horizon,material,model,mean_smape,std_smape,sum_smape,n_expected_folds,n_evaluated_folds
66,1,ridge_h66_m1_roll22_alpha_0.0001_schoolholiday_input_lag66,0.16445211812656657,0.05448151531426021,0.6578084725062663,4,4
66,1,ridge_h66_m1_roll22_alpha_0.0001_schoolholiday_input_mean5_lag66,0.1655845213170373,0.05477282689590129,0.6623380852681492,4,4
66,1,ridge_h66_m1_roll22_alpha_0.0001_schoolholiday_input_mean66_lag66,0.17510307625307373,0.060991013336721425,0.5253092287592211,4,3
66,2,ridge_h66_m2_roll22_alpha_0.0001_input_lag66,0.17377615255819537,0.07751380394938549,0.6951046102327815,4,4
66,2,ridge_h66_m2_roll22_alpha_0.0001_input_mean5_lag66,0.17354291105330405,0.07744723168949005,0.6941716442132162,4,4
66,2,ridge_h66_m2_roll22_alpha_0.0001_input_mean66_lag66,0.15113123232682035,0.01835477755011773,0.45339369698046106,4,3
66,3,ridge_h66_m3_roll22_alpha_0.01_schoolholiday_input_lag66,0.15248220492011455,0.02716774126229176,0.6099288196804582,4,4
66,3,ridge_h66_m3_roll22_alpha_0.01_schoolholiday_input_mean5_lag66,0.15082068404735083,0.02727180399466393,0.6032827361894033,4,4
66,3,ridge_h66_m3_roll22_alpha_0.01_schoolholiday_input_mean66_lag66,0.16731875917138547,0.008133050218302575,0.5019562775141564,4,3
66,4,ridge_h66_m4_roll66_alpha_0.01_schoolholiday_input_lag66,0.15169639351130412,0.02774365250140856,0.6067855740452165,4,4
66,4,ridge_h66_m4_roll66_alpha_0.01_schoolholiday_input_mean5_lag66,0.15098017296087862,0.028117226506426746,0.6039206918435145,4,4
66,4,ridge_h66_m4_roll66_alpha_0.01_schoolholiday_input_mean66_lag66,0.16233241704964171,0.023429795756250368,0.48699725114892517,4,3
66,5,ridge_h66_m5_roll22_alpha_0.0001_dow_input_lag66,0.09791901071914735,0.02892467068268582,0.3916760428765894,4,4
66,5,ridge_h66_m5_roll22_alpha_0.0001_dow_input_mean5_lag66,0.09975796040492199,0.030554331689847614,0.39903184161968797,4,4
66,5,ridge_h66_m5_roll22_alpha_0.0001_dow_input_mean66_lag66,0.10484928847638708,0.032091860566530156,0.31454786542916124,4,3
66,6,ridge_h66_m6_roll66_alpha_0.0001_schoolholiday_input_lag66,0.13100883111030528,0.0192936208010668,0.5240353244412211,4,4
66,6,ridge_h66_m6_roll66_alpha_0.0001_schoolholiday_input_mean5_lag66,0.13215855118705758,0.018827538400837483,0.5286342047482303,4,4
66,6,ridge_h66_m6_roll66_alpha_0.0001_schoolholiday_input_mean66_lag66,0.12442869081711333,0.019341800491132526,0.37328607245134,4,3
66,7,ridge_h66_m7_roll66_alpha_0.0001_holiday_input_lag66,0.2607325136905303,0.05791712905334183,1.0429300547621212,4,4
66,7,ridge_h66_m7_roll66_alpha_0.0001_holiday_input_mean5_lag66,0.2624948444990373,0.06310045534181122,1.0499793779961493,4,4
66,7,ridge_h66_m7_roll66_alpha_0.0001_holiday_input_mean66_lag66,0.27866217407481647,0.04848978514625682,0.8359865222244494,4,3
